seq,irq_ts_ns,recv_ts_ns,latency_ns
0,3395216324930,3395217293316,968386
1,3395217316224,3395218269628,953404
2,3395218321332,3395219274292,952960
3,3395219321236,3395220274993,953757
4,3395220321178,3395221274416,953238
5,3395221321138,3395222274061,952923
6,3395222321042,3395223273762,952720
7,3395223321002,3395224274907,953905
8,3395224320907,3395225276311,955404
9,3395225320867,3395226273957,953090
10,3395226320808,3395227285028,964220
11,3395227315805,3395228280543,964738
12,3395228320877,3395229285244,964367
13,3395229315651,3395230279908,964257
14,3395230320778,3395231284831,964053
15,3395231315516,3395232280476,964960
16,3395232320680,3395233284936,964256
17,3395233315380,3395234279341,963961
18,3395234320507,3395235285615,965108
19,3395235315245,3395236283501,968256
20,3395236321649,3395237286221,964572
21,3395237315128,3395238278792,963664
22,3395238320255,3395239284141,963886
23,3395239315011,3395240280212,965201
24,3395240320249,3395241284653,964404
25,3395241314894,3395242279243,964349
26,3395242319984,3395243285759,965775
27,3395243314944,3395244280830,965886
28,3395244319904,3395245284364,964460
29,3395245314623,3395246278842,964219
30,3395246319731,3395247283802,964071
31,3395247314488,3395248279633,965145
32,3395248319688,3395249284667,964979
33,3395249314371,3395250279423,965052
34,3395250319479,3395251284291,964812
35,3395251314272,3395252279473,965201
36,3395252319399,3395253283600,964201
37,3395253314118,3395254278356,964238
38,3395254319245,3395255284409,965164
39,3395255314001,3395256279424,965423
40,3395256319091,3395257284032,964941
41,3395257313847,3395258278807,964960
42,3395258318937,3395259284156,965219
43,3395259313730,3395260279820,966090
44,3395260318857,3395261283817,964960
45,3395261313632,3395262278758,965126
46,3395262318684,3395263283348,964664
47,3395263313459,3395264278864,965405
48,3395264318604,3395265283287,964683
49,3395265313342,3395266278321,964979
50,3395266318469,3395267283040,964571
51,3395267313207,3395268278445,965238
52,3395268318370,3395269282701,964331
53,3395269313071,3395270277235,964164
54,3395270318216,3395271282454,964238
55,3395271312973,3395272278618,965645
56,3395272318044,3395273283004,964960
57,3395273312782,3395274277797,965015
58,3395274317945,3395275283961,966016
59,3395275312702,3395276278495,965793
60,3395276317847,3395277283066,965219
61,3395277312566,3395278277786,965220
62,3395278317693,3395279282560,964867
63,3395279312449,3395280277372,964923
64,3395280317576,3395281282592,965016
65,3395281312332,3395282277070,964738
66,3395282317403,3395283282252,964849
67,3395283312178,3395284277546,965368
68,3395284317323,3395285281543,964220
69,3395285312061,3395286276151,964090
70,3395286317151,3395287281259,964108
71,3395287311926,3395288277201,965275
72,3395288317071,3395289281865,964794
73,3395289311809,3395290276806,964997
74,3395290316899,3395291281729,964830
75,3395291311673,3395292280430,968757
76,3395292318337,3395293291575,973238
77,3395293311501,3395294284813,973312
78,3395294311479,3395295285421,973942
79,3395295311384,3395296285548,974164
