seq,irq_ts_ns,recv_ts_ns,latency_ns
0,138891592222496,138891593189699,967203
1,138891593213366,138891594165718,952352
2,138891594218440,138891595170032,951592
3,138891595218384,138891596170884,952500
4,138891596218365,138891597170735,952370
5,138891597218235,138891598172753,954518
6,138891598218198,138891599170809,952611
7,138891599218123,138891600171049,952926
8,138891600218086,138891601171308,953222
9,138891601218030,138891602170826,952796
10,138891602217919,138891603170604,952685
11,138891603217974,138891604170288,952314
12,138891604217825,138891605224992,1007167
13,138891605217751,138891606170306,952555
14,138891606217658,138891607169880,952222
15,138891607217602,138891608170454,952852
16,138891608217583,138891609170731,953148
17,138891609217490,138891610169620,952130
18,138891610217416,138891611169545,952129
19,138891611217342,138891612170341,952999
20,138891612217304,138891613170008,952704
21,138891613217211,138891614169618,952407
22,138891614217137,138891615170044,952907
23,138891615217062,138891616168877,951815
24,138891616217025,138891617168858,951833
25,138891617216951,138891618171784,954833
26,138891618216913,138891619169746,952833
27,138891619216820,138891620170283,953463
28,138891620216839,138891621169894,953055
29,138891621216690,138891622169468,952778
30,138891622216616,138891623169689,953073
31,138891623216541,138891624167856,951315
32,138891624216522,138891625168633,952111
33,138891625216429,138891626168337,951908
34,138891626216355,138891627168910,952555
35,138891627216281,138891628170780,954499
36,138891628216243,138891629168724,952481
37,138891629216169,138891630167817,951648
38,138891630216132,138891631168927,952795
39,138891631216020,138891632168335,952315
40,138891632216020,138891633168723,952703
41,138891633215890,138891634168315,952425
42,138891634215834,138891635167611,951777
43,138891635215778,138891636168259,952481
44,138891636215722,138891637167870,952148
45,138891637215629,138891638168573,952944
46,138891638215573,138891639222573,1007000
47,138891639215517,138891640222739,1007222
48,138891640215480,138891641167998,952518
49,138891641215387,138891642168720,953333
50,138891642215313,138891643166498,951185
51,138891643215257,138891644167071,951814
52,138891644215201,138891645168108,952907
53,138891645215126,138891646167589,952463
54,138891646215052,138891647167126,952074
55,138891647215015,138891648167311,952296
56,138891648214959,138891649166829,951870
57,138891649214866,138891650221791,1006925
58,138891650214773,138891651167199,952426
59,138891651214717,138891652167402,952685
60,138891652214680,138891653166365,951685
61,138891653214587,138891654221623,1007036
62,138891654214549,138891655165753,951204
63,138891655214475,138891656166438,951963
64,138891656214419,138891657167067,952648
65,138891657214345,138891658166789,952444
66,138891658214270,138891659167603,953333
67,138891659214196,138891660166325,952129
68,138891660214158,138891661165510,951352
69,138891661214066,138891662166658,952592
70,138891662214010,138891663165917,951907
71,138891663213935,138891664166953,953018
72,138891664213916,138891665165268,951352
73,138891665213805,138891666166768,952963
74,138891666213731,138891667165360,951629
75,138891667213675,138891668166674,952999
76,138891668213637,138891669166026,952389
77,138891669213544,138891670167414,953870
78,138891670213488,138891671165266,951778
79,138891671213414,138891672165117,951703
80,138891672213377,138891673165302,951925
