seq,irq_ts_ns,recv_ts_ns,latency_ns
0,138957687239823,138957690467748,3227925
1,138957688234916,138957690475748,2240832
2,138957689228138,138957690477063,1248925
3,138957690235767,138957691239285,1003518
4,138957691242378,138957692190340,947962
5,138957692229785,138957693175470,945685
6,138957693229729,138957694175321,945592
7,138957694229654,138957695175173,945519
8,138957695229599,138957696176598,946999
9,138957696229506,138957697177283,947777
10,138957697229450,138957698175172,945722
11,138957698229375,138957699174708,945333
12,138957699229338,138957700177208,947870
13,138957700229245,138957701174597,945352
14,138957701229171,138957702174818,945647
15,138957702229133,138957703174726,945593
16,138957703229040,138957704195836,966796
17,138957704223855,138957705169466,945611
18,138957705228910,138957706174447,945537
19,138957706228873,138957707174446,945573
20,138957707228780,138957708176390,947610
21,138957708228742,138957709174520,945778
22,138957709228668,138957710174242,945574
23,138957710228593,138957711174223,945630
24,138957711228519,138957712175815,947296
25,138957712228463,138957713174130,945667
26,138957713228389,138957714173963,945574
27,138957714228314,138957715173444,945130
28,138957715228240,138957716174221,945981
29,138957716228332,138957717174554,946222
30,138957717228147,138957718173498,945351
31,138957718228072,138957719173424,945352
32,138957719228016,138957720173831,945815
33,138957720227961,138957721173497,945536
34,138957721227886,138957722173515,945629
35,138957722227793,138957723173126,945333
36,138957723227719,138957724173422,945703
37,138957724227718,138957725173218,945500
38,138957725227607,138957726172940,945333
39,138957726227533,138957727173032,945499
40,138957727227458,138957728172995,945537
41,138957728227439,138957729172939,945500
42,138957729227365,138957730173198,945833
43,138957730227290,138957731172883,945593
44,138957731227198,138957732172716,945518
45,138957732227160,138957733172771,945611
46,138957733227067,138957734172363,945296
47,138957734227011,138957735172363,945352
48,138957735226937,138957736172363,945426
49,138957736226900,138957737173455,946555
50,138957737226825,138957738172251,945426
51,138957738226732,138957739172287,945555
52,138957739226695,138957740172195,945500
53,138957740226657,138957741172287,945630
54,138957741226546,138957742171712,945166
55,138957742226490,138957743171990,945500
56,138957743226416,138957744171804,945388
57,138957744226397,138957745171841,945444
58,138957745226285,138957746171693,945408
59,138957746226230,138957747171951,945721
60,138957747226155,138957748171747,945592
61,138957748226099,138957749171580,945481
62,138957749226025,138957750171432,945407
63,138957750225950,138957751171580,945630
64,138957751225876,138957752171320,945444
65,138957752225839,138957753171635,945796
66,138957753225857,138957754171264,945407
67,138957754225690,138957755171171,945481
68,138957755225652,138957756171282,945630
69,138957756225597,138957757171781,946184
70,138957757225522,138957758170707,945185
71,138957758225448,138957759170725,945277
72,138957759225355,138957760171262,945907
73,138957760225336,138957761170873,945537
74,138957761225243,138957762170558,945315
75,138957762225187,138957763170631,945444
76,138957763225094,138957764170705,945611
77,138957764225094,138957765170538,945444
78,138957765224982,138957766170093,945111
79,138957766224927,138957767170260,945333
80,138957767224834,138957768170333,945499
81,138957768224796,138957769170148,945352
82,138957769224703,138957770170055,945352
83,138957770224647,138957771170017,945370
84,138957771224573,138957772169832,945259
85,138957772224536,138957773170239,945703
86,138957773224443,138957774169794,945351
87,138957774224368,138957775170183,945815
88,138957775224294,138957776169738,945444
89,138957776224294,138957777170552,946258
90,138957777224201,138957778169737,945536
91,138957778224126,138957779169293,945167
92,138957779224052,138957780169829,945777
93,138957780224014,138957781169403,945389
94,138957781223940,138957782169273,945333
95,138957782223866,138957783169254,945388
96,138957783223791,138957784169050,945259
97,138957784223735,138957785169142,945407
98,138957785223661,138957786169253,945592
99,138957786223586,138957787168734,945148
100,138957787223531,138957788169345,945814
101,138957788223493,138957789168974,945481
102,138957789223400,138957790168881,945481
103,138957790223344,138957791169029,945685
104,138957791223288,138957792168899,945611
105,138957792223233,138957793168603,945370
106,138957793223140,138957794168510,945370
107,138957794223065,138957795168639,945574
108,138957795223009,138957796168842,945833
109,138957796222953,138957797168861,945908
110,138957797222861,138957798168175,945314
111,138957798222805,138957799167860,945055
112,138957799222730,138957800168285,945555
113,138957800222711,138957801168081,945370
114,138957801222618,138957802168137,945519
115,138957802222544,138957803168155,945611
116,138957803222488,138957804167914,945426
117,138957804222432,138957805167895,945463
118,138957805222339,138957806167987,945648
119,138957806222283,138957807167987,945704
120,138957807222228,138957808167690,945462
121,138957808222172,138957809167616,945444
122,138957809222079,138957810167301,945222
123,138957810222023,138957811167300,945277
124,138957811221930,138957812167448,945518
125,138957812222115,138957813167559,945444
126,138957813221818,138957814167577,945759
127,138957814221762,138957815167225,945463
128,138957815221706,138957816167206,945500
129,138957816221669,138957817167502,945833
130,138957817221558,138957818167057,945499
131,138957818221483,138957819167057,945574
132,138957819221427,138957820166816,945389
133,138957820221371,138957821166815,945444
134,138957821221297,138957822166760,945463
135,138957822221222,138957823166407,945185
136,138957823221148,138957824166629,945481
137,138957824221148,138957825166684,945536
138,138957825221036,138957826166684,945648
139,138957826220980,138957827166425,945445
140,138957827220906,138957828166387,945481
141,138957828220850,138957829166146,945296
142,138957829220776,138957830166275,945499
143,138957830220720,138957831166201,945481
144,138957831220645,138957832166052,945407
145,138957832220571,138957833165885,945314
146,138957833220515,138957834165941,945426
147,138957834220459,138957835166014,945555
148,138957835220385,138957836165810,945425
149,138957836220366,138957837166551,946185
150,138957837220273,138957838165810,945537
151,138957838220180,138957839165532,945352
152,138957839220106,138957840165772,945666
153,138957840220068,138957841165216,945148
154,138957841219994,138957842165734,945740
155,138957842219919,138957843165308,945389
156,138957843219845,138957844165382,945537
157,138957844219808,138957845165011,945203
158,138957845219715,138957846165177,945462
159,138957846219640,138957847164936,945296
160,138957847219584,138957848164880,945296
161,138957848219547,138957849164695,945148
162,138957849219473,138957850164861,945388
163,138957850219398,138957851164824,945426
164,138957851219324,138957852164879,945555
165,138957852219305,138957853164212,944907
166,138957853219194,138957854164527,945333
167,138957854219138,138957855164674,945536
168,138957855219063,138957856164767,945704
169,138957856219118,138957857165100,945982
170,138957857218933,138957858164581,945648
171,138957858218859,138957859164062,945203
172,138957859218784,138957860164580,945796
173,138957860218765,138957861164061,945296
174,138957861218691,138957862163968,945277
175,138957862218616,138957863163912,945296
176,138957863218524,138957864163986,945462
177,138957864218505,138957865163449,944944
178,138957865218430,138957866163930,945500
179,138957866218356,138957867163726,945370
180,138957867218281,138957868163670,945389
181,138957868218244,138957869163651,945407
182,138957869218151,138957870163429,945278
183,138957870218077,138957871163299,945222
184,138957871218002,138957872163391,945389
185,138957872217946,138957873163520,945574
186,138957873217891,138957874163075,945184
187,138957874217835,138957875163242,945407
188,138957875217760,138957876162871,945111
189,138957876217704,138957877163463,945759
190,138957877217630,138957878162889,945259
191,138957878217556,138957879163037,945481
192,138957879217481,138957880162796,945315
193,138957880217444,138957881163369,945925
194,138957881217351,138957882162943,945592
195,138957882217276,138957883163128,945852
196,138957883217239,138957884162665,945426
197,138957884217165,138957885162572,945407
198,138957885217109,138957886162164,945055
199,138957886217034,138957887162645,945611
200,138957887216997,138957888162237,945240
201,138957888216923,138957889162033,945110
202,138957889216848,138957890162200,945352
203,138957890216755,138957891161996,945241
204,138957891216699,138957892161977,945278
205,138957892216662,138957893162106,945444
206,138957893216550,138957894161809,945259
207,138957894216495,138957895161939,945444
208,138957895216439,138957896161716,945277
209,138957896216364,138957897162308,945944
210,138957897216308,138957898161790,945482
211,138957898216253,138957899161586,945333
212,138957899216178,138957900161548,945370
213,138957900216141,138957901161529,945388
214,138957901216029,138957902161418,945389
215,138957902215955,138957903161325,945370
216,138957903215899,138957904161362,945463
217,138957904215862,138957905160954,945092
218,138957905215769,138957906160639,944870
219,138957906215713,138957907161583,945870
220,138957907215657,138957908161101,945444
221,138957908215601,138957909160638,945037
222,138957909215527,138957910161267,945740
223,138957910215471,138957911160804,945333
224,138957911215396,138957912161007,945611
225,138957912215322,138957913160618,945296
226,138957913215247,138957914160673,945426
227,138957914215192,138957915160562,945370
228,138957915215117,138957916160432,945315
229,138957916215080,138957917161172,946092
230,138957917214987,138957918160412,945425
231,138957918214912,138957919160357,945445
232,138957919214857,138957920160338,945481
233,138957920214838,138957921160134,945296
234,138957921214726,138957922160078,945352
235,138957922214670,138957923160355,945685
236,138957923214614,138957924159929,945315
237,138957924214559,138957925159836,945277
238,138957925214503,138957926160113,945610
239,138957926214391,138957927159576,945185
240,138957927214335,138957928159724,945389
241,138957928214279,138957929159668,945389
242,138957929214187,138957930159668,945481
243,138957930214131,138957931159575,945444
244,138957931214075,138957932159148,945073
245,138957932214019,138957933159963,945944
246,138957933213944,138957934159426,945482
247,138957934213889,138957935159333,945444
248,138957935213814,138957936159258,945444
249,138957936213777,138957937159628,945851
250,138957937213684,138957938159146,945462
251,138957938213609,138957939158942,945333
252,138957939213554,138957940159035,945481
253,138957940213498,138957941158683,945185
254,138957941213405,138957942158904,945499
255,138957942213367,138957943158830,945463
256,138957943213293,138957944158756,945463
257,138957944213219,138957945158626,945407
258,138957945213200,138957946158625,945425
259,138957946213088,138957947158643,945555
260,138957947213032,138957948158402,945370
261,138957948212976,138957949158198,945222
262,138957949212902,138957950158402,945500
263,138957950212828,138957951158494,945666
264,138957951212753,138957952158253,945500
265,138957952212716,138957953157882,945166
266,138957953212623,138957954157826,945203
267,138957954212548,138957955158456,945908
268,138957955212493,138957956158122,945629
269,138957956212437,138957957157640,945203
270,138957957212362,138957958158306,945944
271,138957958212325,138957959157880,945555
272,138957959212251,138957960157713,945462
273,138957960212195,138957961157694,945499
274,138957961212120,138957962157342,945222
275,138957962212046,138957963157527,945481
276,138957963211990,138957964157545,945555
277,138957964211934,138957965157360,945426
278,138957965211860,138957966157304,945444
279,138957966211785,138957967157359,945574
280,138957967211822,138957968157470,945648
281,138957968211655,138957969156858,945203
282,138957969211580,138957970156988,945408
283,138957970211543,138957971156895,945352
284,138957971211469,138957972156913,945444
285,138957972211394,138957973156653,945259
286,138957973211320,138957974156653,945333
287,138957974211264,138957975156708,945444
288,138957975211190,138957976157152,945962
289,138957976211134,138957977156652,945518
290,138957977211059,138957978156429,945370
291,138957978210985,138957979156410,945425
292,138957979210929,138957980156355,945426
293,138957980210873,138957981156225,945352
294,138957981210799,138957982156298,945499
295,138957982210724,138957983155983,945259
296,138957983210687,138957984156372,945685
297,138957984210612,138957985156057,945445
298,138957985210538,138957986156019,945481
299,138957986210464,138957987156037,945573
300,138957987210408,138957988156593,946185
301,138957988210370,138957989155611,945241
302,138957989210277,138957990155981,945704
303,138957990210185,138957991155610,945425
304,138957991210110,138957992155202,945092
305,138957992210073,138957993155461,945388
306,138957993209998,138957994155442,945444
307,138957994209942,138957995155609,945667
308,138957995209868,138957996155071,945203
309,138957996209831,138957997155219,945388
310,138957997209756,138957998155163,945407
311,138957998209700,138957999155182,945482
312,138957999209607,138958000155403,945796
313,138958000209552,138958001155422,945870
314,138958001209477,138958002154792,945315
315,138958002209421,138958003154754,945333
316,138958003209347,138958004154698,945351
317,138958004209291,138958005154587,945296
318,138958005209217,138958006154716,945499
319,138958006209161,138958007154512,945351
320,138958007209105,138958008155067,945962
321,138958008209067,138958009154419,945352
322,138958009208974,138958010154511,945537
323,138958010208882,138958011154122,945240
324,138958011208826,138958012154214,945388
325,138958012208770,138958013154232,945462
326,138958013208695,138958014154084,945389
327,138958014208621,138958015154084,945463
328,138958015208546,138958016153917,945371
329,138958016208491,138958017153898,945407
330,138958017208416,138958018153583,945167
331,138958018208379,138958019153878,945499
332,138958019208304,138958020153915,945611
333,138958020208249,138958021153452,945203
334,138958021208174,138958022153581,945407
335,138958022208100,138958023153303,945203
336,138958023208044,138958024153155,945111
337,138958024207988,138958025153321,945333
338,138958025207895,138958026153413,945518
339,138958026207839,138958027153376,945537
340,138958027207765,138958028153913,946148
341,138958028207727,138958029153208,945481
342,138958029207634,138958030152967,945333
343,138958030207578,138958031152874,945296
344,138958031207504,138958032153041,945537
345,138958032207467,138958033152615,945148
346,138958033207392,138958034152688,945296
347,138958034207318,138958035152410,945092
348,138958035207243,138958036152688,945445
349,138958036207188,138958037152558,945370
350,138958037207095,138958038152613,945518
351,138958038207057,138958039152761,945704
352,138958039206964,138958040152279,945315
353,138958040206927,138958041151964,945037
354,138958041206853,138958042152463,945610
355,138958042206797,138958043152074,945277
356,138958043206722,138958044151944,945222
357,138958044206666,138958045151907,945241
358,138958045206610,138958046151795,945185
359,138958046206518,138958047152036,945518
360,138958047206443,138958048152128,945685
361,138958048206424,138958049151868,945444
362,138958049206331,138958050151701,945370
363,138958050206257,138958051151701,945444
364,138958051206201,138958052151886,945685
365,138958052206127,138958053151515,945388
366,138958053206052,138958054151348,945296
367,138958054206015,138958055151126,945111
368,138958055205940,138958056151236,945296
369,138958056205866,138958057151292,945426
370,138958057205810,138958058151254,945444
371,138958058205754,138958059151050,945296
372,138958059205661,138958060151180,945519
373,138958060205642,138958061151179,945537
374,138958061205531,138958062151123,945592
