seq,irq_ts_ns,recv_ts_ns,latency_ns
0,138847534420332,138847535398202,977870
1,138847535411202,138847536371164,959962
2,138847536416405,138847537375331,958926
3,138847537416331,138847538376719,960388
4,138847538416256,138847539374811,958555
5,138847539416163,138847540375922,959759
6,138847540416089,138847541374570,958481
7,138847541416051,138847542374644,958593
8,138847542415959,138847543374199,958240
9,138847543415903,138847544374865,958962
10,138847544415884,138847545374458,958574
11,138847545415791,138847546374365,958574
12,138847546415716,138847547374438,958722
13,138847547415661,138847548377216,961555
14,138847548415660,138847549373771,958111
15,138847549415549,138847550374789,959240
16,138847550415604,138847551380956,965352
17,138847551410344,138847552377751,967407
18,138847552415770,138847553380399,964629
19,138847553410214,138847554374732,964518
20,138847554415325,138847555379806,964481
21,138847555410084,138847556378658,968574
22,138847556416769,138847557389639,972870
23,138847557409954,138847558383564,973610
24,138847558409916,138847559382434,972518
25,138847559409842,138847560383230,973388
26,138847560409841,138847561382267,972426
27,138847561409693,138847562382433,972740
28,138847562409618,138847563381989,972371
29,138847563409563,138847564382636,973073
30,138847564409507,138847565382395,972888
31,138847565409432,138847566382136,972704
32,138847566409395,138847567381895,972500
33,138847567409265,138847568382191,972926
34,138847568409283,138847569381931,972648
35,138847569409190,138847570381727,972537
36,138847570409116,138847571381578,972462
37,138847571409060,138847572381689,972629
38,138847572409041,138847573380874,971833
39,138847573408930,138847574381300,972370
40,138847574408855,138847575380744,971889
41,138847575408799,138847576381688,972889
42,138847576408762,138847577381373,972611
43,138847577408706,138847578382391,973685
44,138847578408650,138847579380520,971870
45,138847579408557,138847580380816,972259
46,138847580408520,138847581380557,972037
47,138847581408408,138847582380686,972278
48,138847582408353,138847583379945,971592
49,138847583408278,138847584380963,972685
50,138847584408296,138847585380203,971907
51,138847585408148,138847586380351,972203
52,138847586408092,138847587380277,972185
53,138847587408036,138847588379962,971926
54,138847588407999,138847589380646,972647
55,138847589407850,138847590380702,972852
56,138847590407794,138847591380349,972555
57,138847591407720,138847592380405,972685
58,138847592407720,138847593380164,972444
59,138847593407627,138847594380256,972629
60,138847594407589,138847595380256,972667
61,138847595407533,138847596380514,972981
62,138847596407459,138847597379792,972333
63,138847597407385,138847598381532,974147
64,138847598407310,138847599380143,972833
65,138847599407254,138847600380365,973111
66,138847600407235,138847601379809,972574
67,138847601407161,138847602379753,972592
68,138847602407068,138847603379845,972777
69,138847603406957,138847604380993,974036
70,138847604406956,138847605379530,972574
71,138847605406826,138847606379530,972704
72,138847606406770,138847607379307,972537
73,138847607406714,138847608381547,974833
74,138847608406714,138847609379510,972796
75,138847609406621,138847610379343,972722
76,138847610406565,138847611379306,972741
77,138847611406454,138847612379657,973203
78,138847612406398,138847613378731,972333
79,138847613406324,138847614378916,972592
80,138847614406212,138847615378841,972629
81,138847615406193,138847616378971,972778
82,138847616406174,138847617378489,972315
83,138847617406100,138847618378507,972407
84,138847618406007,138847619378155,972148
85,138847619405988,138847620379377,973389
86,138847620405877,138847621378525,972648
87,138847621405858,138847622379172,973314
88,138847622405784,138847623378265,972481
89,138847623405746,138847624378857,973111
90,138847624405653,138847625378208,972555
91,138847625405597,138847626378616,973019
92,138847626405523,138847627378041,972518
93,138847627405467,138847628378596,973129
94,138847628405374,138847629378763,973389
95,138847629405281,138847630378522,973241
96,138847630405244,138847631377929,972685
97,138847631405206,138847632378391,973185
98,138847632405095,138847633377817,972722
99,138847633405021,138847634378076,973055
100,138847634404965,138847635377668,972703
101,138847635404890,138847636378205,973315
102,138847636404816,138847637377575,972759
103,138847637404760,138847638377445,972685
104,138847638404686,138847639378370,973684
105,138847639404630,138847640377852,973222
106,138847640404574,138847641377166,972592
107,138847641404499,138847642377406,972907
108,138847642404443,138847643377351,972908
109,138847643404388,138847644377387,972999
110,138847644404332,138847645376868,972536
111,138847645404257,138847646377127,972870
112,138847646404201,138847647376775,972574
