seq,irq_ts_ns,recv_ts_ns,latency_ns
0,138913623869253,138913624831716,962463
1,138913624860512,138913625811327,950815
2,138913625865605,138913626816752,951147
3,138913626865530,138913627815178,949648
4,138913627865697,138913628816900,951203
5,138913628865955,138913629815770,949815
6,138913629865622,138913630815140,949518
7,138913630865344,138913631814936,949592
8,138913631865473,138913632815324,949851
9,138913632865195,138913633814657,949462
10,138913633865065,138913634814620,949555
11,138913634865250,138913635815009,949759
12,138913635865305,138913636815434,950129
13,138913636864842,138913637814508,949666
14,138913637864841,138913638814471,949630
15,138913638865100,138913639814693,949593
16,138913639865118,138913640815359,950241
17,138913640864766,138913641814155,949389
18,138913641864581,138913642814099,949518
19,138913642864747,138913643814654,949907
20,138913643864691,138913644814395,949704
21,138913644864265,138913645814098,949833
22,138913645864265,138913646814394,950129
23,138913646864190,138913647813690,949500
24,138913647864208,138913648813893,949685
25,138913648864041,138913649813708,949667
26,138913649864300,138913650813837,949537
27,138913650864004,138913651813540,949536
28,138913651863855,138913652814058,950203
29,138913652863910,138913653813540,949630
30,138913653863836,138913654813428,949592
31,138913654864039,138913655813632,949593
32,138913655863650,138913656813465,949815
33,138913656863557,138913657813242,949685
34,138913657863575,138913658813168,949593
35,138913658863427,138913659812871,949444
36,138913659863612,138913660813778,950166
37,138913660863241,138913661812907,949666
38,138913661863518,138913662813129,949611
39,138913662863703,138913663813203,949500
40,138913663863036,138913664811332,948296
41,138913664863351,138913665809980,946629
42,138913665863036,138913666809572,946536
43,138913666863035,138913667807572,944537
44,138913667863146,138913668809386,946240
45,138913668863146,138913669809868,946722
46,138913669862738,138913670808886,946148
47,138913670862904,138913671808311,945407
48,138913671862608,138913672807293,944685
49,138913672862478,138913673808644,946166
50,138913673862440,138913674808977,946537
51,138913674862736,138913675808699,945963
52,138913675862347,138913676807847,945500
53,138913676862254,138913677806846,944592
54,138913677862495,138913678808402,945907
55,138913678862161,138913679808309,946148
56,138913679862290,138913680808716,946426
57,138913680862512,138913681808549,946037
58,138913681861845,138913682806493,944648
59,138913682862197,138913683808011,945814
60,138913683861807,138913684808326,946519
61,138913684861696,138913685807992,946296
62,138913685861658,138913686808380,946722
63,138913686861917,138913687806676,944759
64,138913687861750,138913688807732,945982
65,138913688861713,138913689807991,946278
66,138913689861694,138913690807842,946148
67,138913690861379,138913691807527,946148
68,138913691861749,138913692806804,945055
69,138913692861156,138913693806897,945741
70,138913693861174,138913694807470,946296
71,138913694860989,138913695807211,946222
72,138913695861266,138913696806803,945537
73,138913696861284,138913697806654,945370
74,138913697861136,138913698807506,946370
75,138913698861062,138913699807265,946203
76,138913699860820,138913700807228,946408
77,138913700860690,138913701806264,945574
78,138913701860746,138913702805468,944722
79,138913702860616,138913703806171,945555
80,138913703860597,138913704807152,946555
81,138913704860560,138913705807022,946462
82,138913705860615,138913706807226,946611
83,138913706860596,138913707804910,944314
84,138913707860207,138913708806188,945981
85,138913708860391,138913709807558,947167
86,138913709860095,138913710806891,946796
87,138913710860002,138913711805039,945037
88,138913711859946,138913712804631,944685
89,138913712860149,138913713806594,946445
90,138913713860168,138913714808260,948092
91,138913714860093,138913715809315,949222
92,138913715859722,138913716809852,950130
93,138913716859648,138913717809259,949611
94,138913717859592,138913718809536,949944
95,138913718859481,138913719809221,949740
96,138913719859406,138913720808943,949537
97,138913720859313,138913721808906,949593
98,138913721859295,138913722809072,949777
99,138913722859331,138913723808646,949315
100,138913723859183,138913724809016,949833
101,138913724859238,138913725809034,949796
102,138913725859108,138913726808793,949685
103,138913726858960,138913727808663,949703
104,138913727858922,138913728808644,949722
105,138913728858866,138913729808662,949796
106,138913729858681,138913730808106,949425
107,138913730858680,138913731808310,949630
108,138913731858976,138913732808717,949741
