seq,irq_ts_ns,recv_ts_ns,latency_ns
0,139383063953118,139383068013005,4059887
1,139383064952432,139383068019728,3067296
2,139383065951765,139383068021154,2069389
3,139383066951691,139383068022413,1070722
4,139383067951617,139383068907413,955796
5,139383068951598,139383069902931,951333
6,139383069951505,139383070902505,951000
7,139383070951449,139383071903726,952277
8,139383071951375,139383072904282,952907
9,139383072951319,139383073904504,953185
10,139383073951207,139383074903559,952352
11,139383074951170,139383075903558,952388
12,139383075951114,139383076904299,953185
13,139383076951058,139383077903595,952537
14,139383077950984,139383078905761,954777
15,139383078950946,139383079902316,951370
16,139383079950835,139383080904038,953203
17,139383080950779,139383081903019,952240
18,139383081950723,139383082902500,951777
19,139383082950649,139383083903111,952462
20,139383083950611,139383084902833,952222
21,139383084950537,139383085901925,951388
22,139383085950462,139383086903221,952759
23,139383086950388,139383087903610,953222
24,139383087950314,139383088903165,952851
25,139383088950276,139383089901294,951018
26,139383089950202,139383090902627,952425
27,139383090950127,139383091902257,952130
28,139383091950072,139383092902330,952258
29,139383092950053,139383093903238,953185
30,139383093949960,139383094903015,953055
31,139383094949904,139383095901737,951833
32,139383095949829,139383096903533,953704
33,139383096949774,139383097902940,953166
34,139383097949718,139383098903032,953314
35,139383098949625,139383099901865,952240
36,139383099949569,139383100902624,953055
37,139383100949568,139383101902383,952815
38,139383101949457,139383102901549,952092
39,139383102949364,139383103902438,953074
40,139383103949290,139383104901549,952259
41,139383104949252,139383105901622,952370
42,139383105949141,139383106901752,952611
43,139383106949141,139383107901177,952036
44,139383107949029,139383108901270,952241
45,139383108948973,139383109901121,952148
46,139383109948917,139383110901473,952556
47,139383110948861,139383111901380,952519
48,139383111948787,139383112901509,952722
49,139383112948805,139383113901027,952222
50,139383113948675,139383114900619,951944
51,139383114948619,139383115900508,951889
52,139383115948508,139383116901341,952833
53,139383116948508,139383117900266,951758
54,139383117948396,139383118901044,952648
55,139383118948322,139383119900932,952610
56,139383119948266,139383120900784,952518
57,139383120948210,139383121900543,952333
58,139383121948117,139383122900320,952203
59,139383122948061,139383123899931,951870
60,139383123947987,139383124900486,952499
61,139383124947986,139383125900227,952241
62,139383125947856,139383126900356,952500
63,139383126947819,139383127900115,952296
64,139383127947745,139383128900263,952518
65,139383128947689,139383129900262,952573
66,139383129947651,139383130900207,952556
67,139383130947540,139383131899410,951870
68,139383131947484,139383132899243,951759
69,139383132947484,139383133899243,951759
70,139383133947354,139383134899798,952444
71,139383134947279,139383135898927,951648
72,139383135947223,139383136900186,952963
73,139383136947168,139383137899612,952444
74,139383137947112,139383138900204,953092
75,139383138947019,139383139899315,952296
76,139383139946944,139383140900074,953130
77,139383140947018,139383141899444,952426
78,139383141946814,139383142898888,952074
79,139383142946777,139383143898554,951777
80,139383143946721,139383144899480,952759
81,139383144946683,139383145897387,950704
82,139383145946572,139383146897294,950722
83,139383146946516,139383147898164,951648
84,139383147946442,139383148898330,951888
85,139383148946386,139383149898385,951999
86,139383149946330,139383150898144,951814
87,139383150946255,139383151898255,952000
88,139383151946199,139383152898014,951815
89,139383152946125,139383153898569,952444
90,139383153946032,139383154898217,952185
91,139383154946013,139383155898180,952167
92,139383155945902,139383156898327,952425
93,139383156945846,139383157897827,951981
94,139383157945809,139383158898568,952759
95,139383158945716,139383159897938,952222
96,139383159945660,139383160898252,952592
97,139383160945585,139383161898437,952852
98,139383161945529,139383162898474,952945
99,139383162945511,139383163897325,951814
100,139383163945418,139383164897788,952370
101,139383164945362,139383165898084,952722
