seq,irq_ts_ns,recv_ts_ns,latency_ns
0,139405089937044,139405090901099,964055
1,139405090928506,139405091879562,951056
2,139405091933599,139405092912432,978833
3,139405092928543,139405093879561,951018
4,139405093933450,139405094884172,950722
5,139405094933375,139405095883134,949759
6,139405095933301,139405096884467,951166
7,139405096933356,139405097882986,949630
8,139405097933171,139405098883207,950036
9,139405098933133,139405099883189,950056
10,139405099933059,139405100883744,950685
11,139405100933059,139405101882855,949796
12,139405101932929,139405102882576,949647
13,139405102932836,139405103882484,949648
14,139405103932780,139405104882520,949740
15,139405104932946,139405105882816,949870
16,139405105932668,139405106882057,949389
17,139405106932594,139405112003925,5071331
18,139405107932519,139405112006944,4074425
19,139405108932519,139405112008333,3075814
20,139405109932426,139405112009685,2077259
21,139405110932352,139405112010944,1078592
22,139405111932277,139405112882036,949759
23,139405112932277,139405113882314,950037
24,139405113932128,139405114882554,950426
25,139405114932072,139405115881887,949815
26,139405115932017,139405116882831,950814
27,139405116931942,139405117881775,949833
28,139405117931886,139405118881404,949518
29,139405118931812,139405119881663,949851
30,139405119931756,139405120881996,950240
31,139405120931682,139405121881329,949647
32,139405121931607,139405122881255,949648
33,139405122931533,139405123881440,949907
34,139405123931477,139405124881699,950222
35,139405124931476,139405125881272,949796
36,139405125931365,139405126880865,949500
37,139405126931291,139405127881031,949740
38,139405127931198,139405128881290,950092
39,139405128931197,139405129880808,949611
40,139405129931067,139405130880900,949833
41,139405130931030,139405131880715,949685
42,139405131930956,139405132881085,950129
43,139405132930881,139405133880492,949611
44,139405133930825,139405134881177,950352
45,139405134930788,139405135880510,949722
46,139405135930714,139405136880491,949777
47,139405136930658,139405137880435,949777
48,139405137930565,139405138880342,949777
49,139405138930509,139405139880342,949833
50,139405139930453,139405140880545,950092
51,139405140930416,139405141880286,949870
52,139405141930323,139405142879933,949610
53,139405142930248,139405143879989,949741
54,139405143930192,139405144880303,950111
55,139405144930136,139405145880006,949870
56,139405145930062,139405146879895,949833
57,139405146929988,139405147879932,949944
58,139405147929913,139405148879783,949870
59,139405148929857,139405149879653,949796
60,139405149929783,139405150879542,949759
61,139405150929708,139405151879467,949759
62,139405151929653,139405152879486,949833
63,139405152929597,139405153879282,949685
64,139405153929522,139405154880115,950593
65,139405154929448,139405155879059,949611
66,139405155929392,139405156879262,949870
67,139405156929355,139405157879132,949777
68,139405157929243,139405158878835,949592
69,139405158929224,139405159878946,949722
70,139405159929150,139405160879001,949851
71,139405160929075,139405161878946,949871
72,139405161929001,139405162878816,949815
73,139405162928945,139405163878778,949833
74,139405163928871,139405164878815,949944
75,139405164928815,139405165878648,949833
76,139405165928740,139405166878481,949741
77,139405166928666,139405167878388,949722
78,139405167928610,139405168878573,949963
79,139405168928573,139405169878110,949537
80,139405169928498,139405170877887,949389
81,139405170928405,139405171878294,949889
82,139405171928331,139405172878201,949870
83,139405172928312,139405173878164,949852
84,139405173928238,139405174878423,950185
85,139405174928163,139405175878163,950000
86,139405175928089,139405176877959,949870
87,139405176927996,139405177877662,949666
88,139405177927977,139405178877847,949870
89,139405178927866,139405179877680,949814
90,139405179927828,139405180877698,949870
91,139405180927754,139405181877624,949870
92,139405181927680,139405182877383,949703
93,139405182927624,139405183877623,949999
94,139405183927549,139405184877567,950018
95,139405184927512,139405185876993,949481
96,139405185927456,139405186877159,949703
97,139405186927382,139405187876974,949592
98,139405187927307,139405188877140,949833
99,139405188927270,139405189877047,949777
100,139405189927158,139405190876825,949667
101,139405190927102,139405191876472,949370
102,139405191927065,139405192876639,949574
103,139405192926972,139405193876861,949889
104,139405193926916,139405194877231,950315
105,139405194926860,139405195876397,949537
106,139405195926767,139405196876656,949889
107,139405196926749,139405197876433,949684
108,139405197926637,139405198876192,949555
109,139405198926581,139405199876359,949778
110,139405199926507,139405200876321,949814
111,139405200926469,139405201876117,949648
112,139405201926414,139405202876098,949684
113,139405202926321,139405203876043,949722
114,139405203926265,139405204876209,949944
115,139405204926209,139405205875894,949685
116,139405205926116,139405206875671,949555
