edge_index,mcu_pa9_time_s,pi_irq_marker_time_s,delta_us
0,0.0003960,0.0003995,3.50
1,0.0013959,0.0013994,3.50
2,0.0023959,0.0023993,3.40
3,0.0033958,0.0033993,3.50
4,0.0043957,0.0043992,3.50
5,0.0053957,0.0053992,3.50
6,0.0063956,0.0063991,3.50
7,0.0073955,0.0073990,3.50
8,0.0083955,0.0083990,3.50
9,0.0093954,0.0093989,3.50
10,0.0103954,0.0103988,3.40
11,0.0113953,0.0113988,3.50
12,0.0123952,0.0123987,3.50
13,0.0133952,0.0133986,3.40
14,0.0143951,0.0143986,3.50
15,0.0153950,0.0153985,3.50
16,0.0163950,0.0163985,3.50
17,0.0173949,0.0173984,3.50
18,0.0183948,0.0183983,3.50
19,0.0193948,0.0193983,3.50
20,0.0203947,0.0203982,3.50
21,0.0213947,0.0213981,3.40
22,0.0223946,0.0223981,3.50
23,0.0233945,0.0233980,3.50
24,0.0243945,0.0243979,3.40
25,0.0253944,0.0253979,3.50
26,0.0263943,0.0263978,3.50
27,0.0273943,0.0273978,3.50
28,0.0283942,0.0283977,3.50
29,0.0293941,0.0293976,3.50
30,0.0303941,0.0303976,3.50
31,0.0313940,0.0313975,3.50
32,0.0323940,0.0323974,3.40
33,0.0333939,0.0333974,3.50
34,0.0343938,0.0343973,3.50
35,0.0353938,0.0353972,3.40
36,0.0363937,0.0363972,3.50
37,0.0373936,0.0373971,3.50
38,0.0383936,0.0383970,3.40
39,0.0393935,0.0393970,3.50
40,0.0403935,0.0404028,9.30
41,0.0413934,0.0413969,3.50
42,0.0423933,0.0424020,8.70
43,0.0433933,0.0433968,3.50
44,0.0443932,0.0444020,8.80
45,0.0453931,0.0454026,9.50
46,0.0463931,0.0464031,10.00
47,0.0473930,0.0474017,8.70
48,0.0483930,0.0484016,8.60
49,0.0493929,0.0494022,9.30
50,0.0503928,0.0504014,8.60
51,0.0513928,0.0514013,8.50
52,0.0523927,0.0524012,8.50
53,0.0533926,0.0534011,8.50
54,0.0543926,0.0544011,8.50
