seq,irq_ts_ns,recv_ts_ns,latency_ns
0,138935671462728,138935676048263,4585535
1,138935672453153,138935676057411,3604258
2,138935673457912,138935676058837,2600925
3,138935674451930,138935676060096,1608166
4,138935675457004,138935676470152,1013148
5,138935676468874,138935677432670,963796
6,138935677451411,138935678403336,951925
7,138935678456003,138935679404280,948277
8,138935679455966,138935680405502,949536
9,138935680456373,138935681405817,949444
10,138935681455835,138935682405057,949222
11,138935682455872,138935683405057,949185
12,138935683455686,138935684405742,950056
13,138935684455649,138935685405482,949833
14,138935685455649,138935686405130,949481
15,138935686455834,138935687405704,949870
16,138935687455241,138935688403685,948444
17,138935688455407,138935689403703,948296
18,138935689455333,138935690405925,950592
19,138935690455554,138935691405128,949574
20,138935691455610,138935692404943,949333
21,138935692455017,138935693402091,947074
22,138935693455387,138935694405757,950370
23,138935694454979,138935695404071,949092
24,138935695455275,138935696404015,948740
25,138935696455256,138935697404626,949370
26,138935697454793,138935698403052,948259
27,138935698455070,138935699403477,948407
28,138935699454681,138935700403514,948833
29,138935700454718,138935701404217,949499
30,138935701454551,138935702403087,948536
31,138935702454458,138935703402550,948092
32,138935703454587,138935704403013,948426
33,138935704454513,138935705403531,949018
34,138935705454549,138935706404142,949593
35,138935706454197,138935707403141,948944
36,138935707454178,138935708403011,948833
37,138935708454067,138935709403456,949389
38,138935709454307,138935710404251,949944
39,138935710454344,138935711404381,950037
40,138935711453899,138935712402380,948481
41,138935712453695,138935713401213,947518
42,138935713453769,138935714401824,948055
43,138935714453935,138935715402602,948667
44,138935715453602,138935716403064,949462
45,138935716453324,138935717400916,947592
46,138935717453490,138935718401230,947740
47,138935718453675,138935719401989,948314
48,138935719453434,138935720401748,948314
49,138935720453267,138935721402989,949722
50,138935721453396,138935722401525,948129
51,138935722453229,138935723402525,949296
52,138935723453340,138935724402062,948722
53,138935724453376,138935725402635,949259
54,138935725452932,138935726401653,948721
55,138935726453191,138935727401931,948740
56,138935727452875,138935728402116,949241
57,138935728453153,138935729402208,949055
58,138935729452986,138935730400930,947944
59,138935730452615,138935731401004,948389
60,138935731452300,138935732400466,948166
61,138935732452485,138935733400707,948222
62,138935733452725,138935734401706,948981
63,138935734452447,138935735399762,947315
64,138935735452447,138935736401021,948574
65,138935736452261,138935737400891,948630
66,138935737452650,138935738401168,948518
67,138935738452390,138935739401205,948815
68,138935739452408,138935740401186,948778
69,138935740452297,138935741400723,948426
70,138935741452056,138935742401259,949203
71,138935742452222,138935743400833,948611
72,138935743452129,138935744400666,948537
73,138935744451722,138935745399980,948258
74,138935745451647,138935746400128,948481
75,138935746451647,138935747400795,949148
76,138935747451276,138935748398942,947666
77,138935748451442,138935749399442,948000
78,138935749451757,138935750399719,947962
79,138935750451294,138935751398256,946962
80,138935751451256,138935752399663,948407
81,138935752451237,138935753399367,948130
82,138935753451218,138935754400051,948833
83,138935754451051,138935755399570,948519
84,138935755451181,138935756399921,948740
85,138935756450903,138935757399421,948518
86,138935757450865,138935758398883,948018
87,138935758451124,138935759399828,948704
88,138935759450772,138935760398957,948185
89,138935760450642,138935761398679,948037
90,138935761450882,138935762399641,948759
91,138935762450290,138935763397900,947610
92,138935763450530,138935764398215,947685
93,138935764450474,138935765399214,948740
94,138935765450492,138935766399177,948685
95,138935766450399,138935767398399,948000
96,138935767450232,138935768399306,949074
97,138935768450436,138935769399158,948722
98,138935769450121,138935770398805,948684
99,138935770450324,138935771399453,949129
100,138935771450027,138935772398508,948481
101,138935772449971,138935773398378,948407
102,138935773450138,138935774399267,949129
103,138935774450063,138935775398452,948389
104,138935775450044,138935776398914,948870
105,138935776449933,138935777397914,947981
106,138935777449859,138935778397877,948018
107,138935778449284,138935779397506,948222
108,138935779449395,138935780396932,947537
109,138935780449321,138935781396894,947573
110,138935781449246,138935782397320,948074
111,138935782449505,138935783397708,948203
112,138935783449134,138935784397486,948352
113,138935784449282,138935785396967,947685
114,138935785449041,138935786397726,948685
115,138935786449207,138935787397818,948611
116,138935787448855,138935788397559,948704
117,138935788449133,138935789397410,948277
118,138935789449040,138935790397076,948036
119,138935790449039,138935791398002,948963
120,138935791448743,138935792396983,948240
121,138935792448539,138935793395464,946925
122,138935793448483,138935794396482,947999
123,138935794448260,138935795395945,947685
124,138935795448390,138935796396463,948073
125,138935796448408,138935797396537,948129
126,138935797448593,138935798397389,948796
127,138935798448611,138935799397703,949092
128,138935799448147,138935800396684,948537
129,138935800448240,138935801397888,949648
130,138935801448017,138935802396572,948555
131,138935802447961,138935803396683,948722
132,138935803447831,138935804396053,948222
133,138935804447794,138935805396090,948296
134,138935805447757,138935806395775,948018
135,138935806447756,138935807396219,948463
136,138935807447534,138935808396033,948499
137,138935808447774,138935809396089,948315
138,138935809448033,138935810396533,948500
139,138935810447162,138935811395162,948000
140,138935811447421,138935812395217,947796
141,138935812447662,138935813395550,947888
142,138935813447550,138935814395846,948296
143,138935814447439,138935815395309,947870
144,138935815447420,138935816395623,948203
145,138935816447049,138935817395401,948352
146,138935817447160,138935818395530,948370
147,138935818446900,138935819394585,947685
148,138935819446826,138935820395863,949037
149,138935820446937,138935821395325,948388
150,138935821446733,138935822394732,947999
151,138935822446566,138935823394917,948351
152,138935823446917,138935824395084,948167
153,138935824446880,138935825394935,948055
154,138935825446657,138935826394879,948222
155,138935826446138,138935827394379,948241
156,138935827446305,138935828394453,948148
157,138935828446286,138935829394267,947981
158,138935829446248,138935830394341,948093
159,138935830446081,138935831395081,949000
160,138935831446303,138935832394247,947944
161,138935832445914,138935833392821,946907
162,138935833445877,138935834393988,948111
163,138935834445802,138935835393691,947889
164,138935835446209,138935836394246,948037
165,138935836446042,138935837394838,948796
166,138935837446005,138935838394023,948018
167,138935838445838,138935839393912,948074
168,138935839445541,138935840393837,948296
169,138935840445800,138935841395522,949722
170,138935841445393,138935842394022,948629
171,138935842445096,138935843392336,947240
172,138935843445188,138935844393114,947926
173,138935844445521,138935845393743,948222
174,138935845445169,138935846393891,948722
175,138935846445261,138935847393613,948352
176,138935847444983,138935848393261,948278
177,138935848445001,138935849393649,948648
178,138935849445223,138935850393686,948463
179,138935850444853,138935851393260,948407
180,138935851444815,138935852393537,948722
181,138935852444778,138935853392852,948074
182,138935853444685,138935854393388,948703
183,138935854444796,138935855393203,948407
184,138935855444740,138935856393480,948740
185,138935856444684,138935857392721,948037
186,138935857444443,138935858392461,948018
187,138935858444016,138935859392127,948111
188,138935859444164,138935860393090,948926
189,138935860444386,138935861393516,949130
190,138935861444386,138935862393108,948722
191,138935862444311,138935863392996,948685
192,138935863444200,138935864392533,948333
193,138935864443940,138935865392588,948648
194,138935865443847,138935866392625,948778
195,138935866443755,138935867392051,948296
196,138935867443921,138935868392828,948907
197,138935868443717,138935869392142,948425
198,138935869443476,138935870391809,948333
199,138935870443420,138935871391179,947759
200,138935871443475,138935872391901,948426
201,138935872443623,138935873391419,947796
202,138935873443623,138935874392400,948777
203,138935874443196,138935875391566,948370
204,138935875442918,138935876391140,948222
205,138935876443140,138935877390955,947815
206,138935877443084,138935878391047,947963
207,138935878443065,138935879391398,948333
208,138935879442972,138935880390768,947796
209,138935880443268,138935881391305,948037
210,138935881443435,138935882391934,948499
211,138935882442971,138935883391416,948445
212,138935883442712,138935884390452,947740
213,138935884442915,138935885390915,948000
214,138935885442619,138935886390748,948129
215,138935886442526,138935887390803,948277
216,138935887442507,138935888391340,948833
217,138935888442432,138935889390580,948148
218,138935889442247,138935890390746,948499
219,138935890442246,138935891390746,948500
220,138935891441913,138935892390005,948092
221,138935892442024,138935893389949,947925
222,138935893441949,138935894390078,948129
223,138935894441930,138935895390726,948796
224,138935895442226,138935896390300,948074
225,138935896442152,138935897390189,948037
226,138935897441781,138935898390373,948592
227,138935898441651,138935899390040,948389
228,138935899441632,138935900389688,948056
229,138935900441891,138935901389947,948056
230,138935901441761,138935902389983,948222
231,138935902441520,138935903390001,948481
