seq,irq_ts_ns,recv_ts_ns,latency_ns
19621,5642425209335,5659838249070,17413039735
19622,5642426208965,5659838268718,17412059753
19623,5642426208965,5659838270125,17412061160
19624,5642426208965,5659838271755,17412062790
0,5659838449718,5659839613626,1163908
1,5659839443219,5659841465646,2022427
2,5659840451627,5659841488165,1036538
3,5659841437183,5659842548202,1111019
4,5659842444462,5659843644666,1200204
5,5659843438462,5659845497649,2059187
6,5659844437574,5659845520168,1082594
7,5659845447408,5659846594613,1147205
8,5659846443705,5659847673391,1229686
9,5659848443577,5659849547615,1104038
10,5659848443577,5659849568319,1124742
11,5659849435559,5659850636912,1201353
12,5659850435171,5659852538321,2103150
13,5659851443635,5659852558284,1114649
14,5659852436987,5659853625933,1188946
15,5659853435599,5659855485656,2050057
16,5659854444989,5659855506619,1061630
17,5659855455008,5659856625139,1170131
18,5659856435472,5659858460603,2025131
19,5659857441028,5659858481492,1040464
20,5659858435547,5659859532363,1096816
21,5659859436752,5659860614123,1177371
22,5659860442086,5659861659364,1217278
23,5659861454012,5659863504940,2050928
24,5659862442569,5659863524736,1082167
25,5659863443199,5659864591904,1148705
26,5659864440255,5659865655534,1215279
27,5659865451812,5659867517332,2065520
28,5659866453646,5659867537221,1083575
29,5659867439017,5659868582981,1143964
30,5659868440740,5659869642574,1201834
31,5659869436426,5659871466705,2030279
32,5659870445149,5659871485853,1040704
33,5659871443501,5659872559169,1115668
34,5659872441076,5659873617410,1176334
35,5659873434355,5659875490300,2055945
36,5659874442707,5659875510189,1067482
37,5659875445356,5659876593746,1148390
38,5659876441931,5659877658876,1216945
39,5659877454339,5659879539637,2085298
40,5659878451451,5659879556526,1105075
41,5659879434674,5659880604100,1169426
42,5659880440341,5659882479213,2038872
43,5659881446842,5659882494898,1048056
44,5659882448065,5659883543047,1094982
45,5659883439343,5659884611770,1172427
46,5659884435288,5659886480123,2044835
47,5659885445771,5659886500197,1054426
48,5659886453438,5659887555568,1102130
49,5659887439902,5659888621440,1181538
50,5659888436254,5659890471534,2035280
51,5659889443218,5659890488497,1045279
52,5659890446293,5659891540349,1094056
53,5659891438127,5659892612739,1174612
54,5659892433572,5659894471092,2037520
55,5659893444036,5659894491259,1047223
56,5659894445351,5659895543426,1098075
57,5659895439371,5659896645853,1206482
58,5659896441279,5659898539688,2098409
59,5659897438539,5659898558114,1119575
60,5659898433910,5659899617799,1183889
61,5659899434503,5659901487782,2053279
62,5659900442022,5659901506542,1064520
63,5659901438153,5659902558876,1120723
64,5659902437857,5659903623395,1185538
65,5659903434469,5659905461896,2027427
66,5659904436303,5659905480044,1043741
67,5659905440452,5659906547564,1107112
68,5659906438156,5659907610713,1172557
69,5659907432509,5659909483288,2050779
70,5659908442065,5659909502140,1060075
71,5659909439344,5659910557178,1117834
72,5659910437641,5659911631845,1194204
73,5659911433493,5659913470902,2037409
74,5659912443327,5659913489476,1046149
75,5659913451847,5659914552699,1100852
76,5659914437718,5659915631663,1193945
77,5659915431311,5659917521127,2089816
78,5659916432886,5659917539479,1106593
79,5659917436498,5659918607906,1171408
80,5659918437091,5659920476870,2039779
81,5659919438555,5659920494796,1056241
82,5659920445778,5659921550649,1104871
83,5659921438223,5659922613372,1175149
84,5659922432075,5659924504169,2072094
85,5659923442020,5659924523744,1081724
86,5659924441947,5659925574744,1132797
87,5659925437244,5659927496598,2059354
88,5659926445319,5659927517523,1072204
89,5659927441746,5659928584987,1143241
90,5659928436524,5659930490174,2053650
91,5659929444043,5659930510859,1066816
92,5659930438692,5659931565489,1126797
93,5659931438471,5659932647861,1209390
94,5659932442897,5659934544121,2101224
95,5659933442528,5659934562251,1119723
96,5659934434621,5659935613992,1179371
97,5659935431196,5659937497790,2066594
98,5659936438252,5659937517438,1079186
99,5659937439864,5659938568013,1128149
100,5659938436217,5659939646458,1210241
101,5659939434773,5659941508293,2073520
102,5659940429533,5659941526534,1097001
103,5659941436682,5659942601331,1164649
104,5659942436905,5659944489406,2052501
105,5659943445405,5659944511314,1065909
106,5659944436499,5659945557722,1121223
107,5659945437277,5659946651611,1214334
108,5659946443815,5659948543187,2099372
109,5659947448464,5659948560983,1112519
110,5659948434928,5659949607595,1172667
111,5659949428280,5659951468171,2039891
112,5659950434762,5659951487893,1053131
113,5659951447041,5659952573727,1126686
114,5659952435560,5659953640765,1205205
115,5659953438098,5659955516192,2078094
116,5659954429562,5659955531840,1102278
117,5659955432136,5659956596174,1164038
118,5659956435452,5659958478768,2043316
119,5659957436138,5659958495972,1059834
120,5659958448083,5659959548232,1100149
121,5659959435287,5659960617807,1182520
122,5659960429973,5659962490456,2060483
123,5659961437344,5659962508271,1070927
124,5659962438678,5659963572679,1134001
125,5659963434327,5659965465199,2030872
126,5659964434476,5659965483607,1049131
127,5659965434070,5659966549904,1115834
128,5659966433774,5659967614497,1180723
129,5659967431497,5659969458776,2027279
130,5659968440183,5659969480054,1039871
131,5659969434758,5659970539462,1104704
132,5659970432777,5659971609778,1177001
133,5659971428148,5659973479687,2051539
134,5659972433612,5659973497187,1063575
135,5659973436316,5659974553150,1116834
136,5659974434595,5659975637225,1202630
137,5659975431114,5659977505671,2074557
138,5659976428337,5659977526597,1098260
139,5659977434838,5659978571153,1136315
140,5659978433894,5659979643098,1209204
141,5659979437783,5659981505081,2067298
142,5659980427006,5659981526748,1099742
143,5659981431507,5659982578582,1147075
144,5659982433897,5659984462491,2028594
145,5659983435120,5659984482806,1047686
146,5659984432972,5659985525769,1092797
147,5659985433158,5659986606548,1173390
148,5659986434696,5659988462901,2028205
149,5659987441660,5659988480401,1038741
150,5659988439197,5659989525217,1086020
151,5659989427624,5659990599143,1171519
152,5659990432717,5659992484737,2052020
153,5659991433163,5659992509367,1076204
154,5659992434719,5659994698535,2263816
155,5659993435349,5659994802369,1367020
156,5659995432610,5660000736929,5304319
157,5659996434240,5660000834855,4400615
158,5659997437778,5660000847077,3409299
159,5659998440242,5660000849040,2408798
160,5659998440242,5660000850910,2410668
161,5659999432705,5660000852910,1420205
162,5660001445577,5660007683008,6237431
163,5660002436171,5660007796137,5359966
