seq,irq_ts_ns,recv_ts_ns,latency_ns
0,6505053928527,6505056018436,2089909
1,6505054919287,6505056027622,1108335
2,6505055919196,6505056920937,1001741
3,6505056920456,6505057918456,998000
4,6505057921308,6505058918383,997075
5,6505058921531,6505059916661,995130
6,6505059919865,6505060910033,990168
7,6505060919181,6505061894811,975630
8,6505061918978,6505062895515,976537
9,6505062919275,6505063893831,974556
10,6505063918887,6505064893202,974315
11,6505064919165,6505065894795,975630
12,6505065918888,6505066892148,973260
13,6505066919018,6505067893408,974390
14,6505067918723,6505068894575,975852
15,6505068918779,6505069894372,975593
16,6505069919058,6505070893114,974056
17,6505070918558,6505071893115,974557
18,6505071918448,6505072892671,974223
19,6505072918986,6505073895246,976260
20,6505073918283,6505074894598,976315
21,6505074918043,6505075892673,974630
22,6505075918266,6505076891933,973667
23,6505076917840,6505077891526,973686
24,6505077917786,6505078893027,975241
25,6505078917712,6505079892454,974742
26,6505079917657,6505080893454,975797
27,6505080918454,6505081892603,974149
28,6505081917603,6505082893067,975464
29,6505082917474,6505083891290,973816
30,6505083917660,6505086090699,2173039
31,6505084917846,6505086098662,1180816
32,6505085928162,6505086904903,976741
33,6505086917570,6505087892367,974797
34,6505087917571,6505088895775,978204
35,6505088917497,6505089890461,972964
36,6505089917146,6505090890943,973797
37,6505090917017,6505091890796,973779
38,6505091917111,6505092890519,973408
39,6505092917000,6505093890668,973668
40,6505093916908,6505094892298,975390
41,6505094916854,6505095893225,976371
42,6505095917225,6505096891448,974223
43,6505096916688,6505097890189,973501
44,6505097916634,6505098891319,974685
45,6505098916819,6505099891876,975057
46,6505099916561,6505100892062,975501
47,6505100916525,6505101889766,973241
48,6505101916433,6505102892396,975963
49,6505102916341,6505103891730,975389
50,6505103916268,6505104892027,975759
51,6505104916268,6505105890102,973834
52,6505105916176,6505106891177,975001
53,6505106916122,6505107890789,974667
54,6505107916215,6505108887512,971297
55,6505108916623,6505109890920,974297
56,6505109915902,6505110890365,974463
57,6505110915884,6505111890755,974871
58,6505111915829,6505116010461,4094632
59,6505112915607,6505116014128,3098521
60,6505113915534,6505116015647,2100113
61,6505114915479,6505116017091,1101612
62,6505115915406,6505116890462,975056
63,6505116915647,6505117890130,974483
64,6505117915537,6505118890760,975223
65,6505118915445,6505119890575,975130
66,6505119915538,6505120887113,971575
67,6505120915391,6505121888781,973390
68,6505121915410,6505122890355,974945
69,6505122915152,6505123888152,973000
70,6505123915171,6505124887635,972464
71,6505124915098,6505125889265,974167
72,6505125915006,6505126889284,974278
73,6505126914951,6505127889378,974427
74,6505127914915,6505128888786,973871
75,6505128914860,6505129889953,975093
76,6505129914823,6505130888806,973983
77,6505130914695,6505131887917,973222
78,6505131914658,6505132892289,977631
79,6505132914955,6505133888252,973297
80,6505133914549,6505134889512,974963
81,6505134914512,6505135887939,973427
82,6505135914457,6505136886643,972186
83,6505136914366,6505137890163,975797
84,6505137914551,6505138888571,974020
85,6505138914237,6505139889220,974983
86,6505139914201,6505140888498,974297
87,6505140914239,6505141887684,973445
88,6505141914073,6505142886185,972112
89,6505142914000,6505143885926,971926
90,6505143914000,6505144885834,971834
91,6505144913983,6505145886372,972389
92,6505145913854,6505146889632,975778
93,6505146913799,6505147887559,973760
94,6505147913892,6505148888411,974519
95,6505148913726,6505149887060,973334
96,6505149913616,6505150887783,974167
97,6505150913542,6505151887951,974409
98,6505151913525,6505152886933,973408
99,6505152913470,6505153885508,972038
100,6505153913378,6505154887527,974149
101,6505154913453,6505155887490,974037
102,6505155913287,6505156885547,972260
103,6505156913250,6505157886862,973612
104,6505157913325,6505158887807,974482
105,6505158913085,6505159888530,975445
106,6505159913086,6505160886420,973334
107,6505160913309,6505161898217,984908
108,6505161913273,6505162909718,996445
109,6505162912977,6505163909367,996390
110,6505163913015,6505164910201,997186
111,6505164912923,6505165908627,995704
112,6505165912942,6505166912091,999149
113,6505166913813,6505167909870,996057
114,6505167912758,6505168909907,997149
115,6505168912667,6505169909871,997204
116,6505169912723,6505170909187,996464
117,6505170912687,6505171909002,996315
118,6505171912521,6505172911114,998593
119,6505172912929,6505173910522,997593
120,6505173912411,6505174912504,1000093
