seq,irq_ts_ns,recv_ts_ns,latency_ns
0,6457293850880,6457296014011,2163131
1,6457294842417,6457296020511,1178094
2,6457295847566,6457296806511,958945
3,6457296847900,6457297804123,956223
4,6457297847734,6457298802643,954909
5,6457298847957,6457299802440,954483
6,6457299848143,6457300803681,955538
7,6457300848051,6457301803385,955334
8,6457301847552,6457302802479,954927
9,6457302847571,6457303802683,955112
10,6457303847442,6457304804943,957501
11,6457304847684,6457305802666,954982
12,6457305847277,6457306802815,955538
13,6457306847426,6457307802371,954945
14,6457307847334,6457308802594,955260
15,6457308847242,6457309802336,955094
16,6457309847299,6457310802207,954908
17,6457310847262,6457311802208,954946
18,6457311846967,6457312802079,955112
19,6457312847616,6457313803153,955537
20,6457313846839,6457314801876,955037
21,6457314846988,6457315801803,954815
22,6457315846840,6457316803211,956371
23,6457316846785,6457317801934,955149
24,6457317846564,6457318801564,955000
25,6457318846565,6457319801065,954500
26,6457319846436,6457320801492,955056
27,6457320846788,6457321801789,955001
28,6457321846456,6457322800993,954537
29,6457322846660,6457323801272,954612
30,6457323846513,6457324801273,954760
31,6457324846458,6457325801162,954704
32,6457325846477,6457326801941,955464
33,6457326846478,6457327801127,954649
34,6457327846201,6457328803516,957315
35,6457328846275,6457329803869,957594
36,6457329846369,6457330804407,958038
37,6457330846314,6457331906796,1060482
38,6457331847426,6457332839445,992019
39,6457332845390,6457333802298,956908
40,6457333845631,6457334800558,954927
41,6457334845669,6457335800577,954908
42,6457335845873,6457336813966,968093
43,6457336840781,6457337796301,955520
44,6457337845412,6457338809875,964463
45,6457338845579,6457339801691,956112
46,6457339845339,6457340801451,956112
47,6457340845581,6457341800507,954926
48,6457341845433,6457342800008,954575
49,6457342845767,6457343800712,954945
50,6457343845286,6457344778639,933353
51,6457344845028,6457345799788,954760
52,6457345845158,6457346800677,955519
53,6457346845177,6457347799771,954594
54,6457347844845,6457348799586,954741
55,6457348845031,6457349799606,954575
56,6457349845013,6457350799254,954241
57,6457350844569,6457351799125,954556
58,6457351844681,6457352799441,954760
59,6457352845256,6457353800627,955371
60,6457353844664,6457354799202,954538
61,6457354844739,6457355799888,955149
62,6457355844351,6457356799129,954778
63,6457356844444,6457357799037,954593
64,6457357844519,6457358799242,954723
65,6457358844482,6457359798872,954390
66,6457359844113,6457360801058,956945
67,6457360844188,6457361799059,954871
68,6457361844207,6457362799337,955130
69,6457362844134,6457363798579,954445
70,6457363844116,6457364798820,954704
71,6457364844135,6457365798802,954667
72,6457365844413,6457366799877,955464
73,6457366843785,6457367798396,954611
74,6457367843674,6457368798749,955075
75,6457368844249,6457369798935,954686
76,6457369843472,6457370797565,954093
77,6457370843787,6457371798177,954390
78,6457371843510,6457372798382,954872
79,6457372843567,6457373798123,954556
80,6457373843586,6457374797864,954278
81,6457374843550,6457375798439,954889
82,6457375843754,6457376798921,955167
83,6457376843477,6457377798256,954779
84,6457377843107,6457378797997,954890
85,6457378843349,6457379798090,954741
86,6457379843183,6457380802813,959630
87,6457380843369,6457381814555,971186
88,6457381838351,6457382809426,971075
89,6457382838241,6457383809204,970963
90,6457383838167,6457384809390,971223
91,6457384838020,6457385809150,971130
92,6457385837835,6457386809151,971316
93,6457386837799,6457387809466,971667
94,6457387838041,6457388809912,971871
95,6457388837708,6457389809061,971353
96,6457389837801,6457390809061,971260
97,6457390837969,6457391809284,971315
98,6457391837525,6457392809285,971760
99,6457392837674,6457393808600,970926
100,6457393837563,6457394808860,971297
101,6457394837472,6457395808787,971315
102,6457395837380,6457396808880,971500
103,6457396837195,6457397808437,971242
104,6457397837177,6457398808956,971779
105,6457398837289,6457399809012,971723
106,6457399837364,6457400809309,971945
107,6457400837217,6457401809199,971982
108,6457401837143,6457402808292,971149
109,6457402837181,6457403808108,970927
110,6457403836960,6457404808201,971241
111,6457404836738,6457405808017,971279
112,6457405836646,6457406808462,971816
113,6457406836777,6457407807944,971167
114,6457407836592,6457408807537,970945
115,6457408836871,6457409808353,971482
116,6457409836408,6457410807631,971223
117,6457410836668,6457411807651,970983
118,6457411836410,6457412807855,971445
119,6457412836540,6457413807671,971131
120,6457413836374,6457414808097,971723
121,6457414836171,6457415807246,971075
122,6457415836135,6457416807728,971593
123,6457416836414,6457417807340,970926
124,6457417836025,6457418807341,971316
125,6457418836248,6457419807471,971223
126,6457419836138,6457420807342,971204
127,6457420835842,6457421806973,971131
128,6457421835750,6457422806899,971149
129,6457422836159,6457423807567,971408
130,6457423835919,6457424807493,971574
131,6457424835827,6457425806772,970945
132,6457425835939,6457426807995,972056
133,6457426835810,6457427806921,971111
134,6457427835514,6457428806737,971223
135,6457428835533,6457429806812,971279
136,6457429835441,6457430806683,971242
137,6457430835294,6457431806350,971056
138,6457431835536,6457432806703,971167
139,6457432835481,6457433806796,971315
140,6457433835370,6457434806778,971408
141,6457434835130,6457435806187,971057
142,6457435834946,6457436806484,971538
143,6457436835206,6457437806632,971426
144,6457437834855,6457438805837,970982
145,6457438835078,6457439806041,970963
