seq,irq_ts_ns,recv_ts_ns,latency_ns
0,6111711947119,6111712914435,967316
1,6111712939120,6111713891565,952445
2,6111713944195,6111714895455,951260
3,6111714944140,6111715895604,951464
4,6111715944067,6111716897086,953019
5,6111716944049,6111717897568,953519
6,6111717943939,6111718896976,953037
7,6111718943884,6111719898829,954945
8,6111719943866,6111720897367,953501
9,6111720943774,6111721896367,952593
10,6111721943701,6111722895201,951500
11,6111722943646,6111723894610,950964
12,6111723943573,6111724895073,951500
13,6111724943536,6111725895574,952038
14,6111725943463,6111726895427,951964
15,6111726943390,6111727896427,953037
16,6111727943353,6111728895891,952538
17,6111728943280,6111729895410,952130
18,6111729943207,6111730895744,952537
19,6111730943152,6111731895338,952186
20,6111731943078,6111732897005,953927
21,6111732943024,6111733894654,951630
22,6111733942969,6111734893747,950778
23,6111734942895,6111735893581,950686
24,6111735942841,6111736894267,951426
25,6111736942804,6111737893786,950982
26,6111737942712,6111738893676,950964
27,6111738942658,6111739893306,950648
28,6111739942566,6111740893363,950797
29,6111740942566,6111741893363,950797
30,6111741942475,6111742893327,950852
31,6111742942420,6111743893383,950963
32,6111743942328,6111744893199,950871
33,6111744942329,6111745893274,950945
34,6111745942218,6111746892774,950556
35,6111746942163,6111747892794,950631
36,6111747942146,6111748901461,959315
37,6111748942313,6111749927054,984741
38,6111749937203,6111750892555,955352
39,6111750942092,6111751892871,950779
40,6111751941834,6111752903631,961797
41,6111752942057,6111753892946,950889
42,6111753941705,6111754892725,951020
43,6111754941651,6111755892188,950537
44,6111755941596,6111756892634,951038
45,6111756941578,6111757892060,950482
46,6111757941449,6111758892246,950797
47,6111758941394,6111759892062,950668
48,6111759941339,6111760892599,951260
49,6111760941285,6111761891952,950667
50,6111761941211,6111762892212,951001
51,6111762941138,6111763891879,950741
52,6111763941102,6111764892547,951445
53,6111764941028,6111765891714,950686
54,6111765940973,6111766891641,950668
55,6111766940882,6111767891604,950722
56,6111767940827,6111768894494,953667
57,6111768940790,6111769891699,950909
58,6111769940736,6111770891384,950648
59,6111770940662,6111771891181,950519
60,6111771940589,6111772893608,953019
61,6111772940534,6111773891442,950908
62,6111773940479,6111774891406,950927
63,6111774940424,6111775891092,950668
64,6111775940351,6111776893315,952964
65,6111776940333,6111777891278,950945
66,6111777940204,6111778891279,951075
67,6111778940168,6111779891076,950908
68,6111779940113,6111780892484,952371
69,6111780940058,6111781890929,950871
70,6111781939985,6111782890801,950816
71,6111782939930,6111783890727,950797
72,6111783939875,6111784891246,951371
73,6111784939802,6111785890655,950853
74,6111785939747,6111786890637,950890
75,6111786939674,6111787890675,951001
76,6111787939601,6111788890509,950908
77,6111788939564,6111789890028,950464
78,6111789939528,6111790890140,950612
79,6111790939436,6111791890177,950741
80,6111791939363,6111792890845,951482
81,6111792939345,6111793890068,950723
82,6111793939253,6111794889846,950593
83,6111794939180,6111795889606,950426
84,6111795939125,6111796889885,950760
85,6111796939052,6111797889552,950500
86,6111797938997,6111798889201,950204
87,6111798938942,6111799889350,950408
88,6111799938887,6111800889573,950686
89,6111800938814,6111801889037,950223
90,6111801938759,6111802889185,950426
91,6111802938723,6111803889168,950445
92,6111803938612,6111804889168,950556
93,6111804938576,6111805889040,950464
94,6111805938503,6111806888670,950167
95,6111806938429,6111807888819,950390
96,6111807938393,6111808889690,951297
97,6111808938320,6111809888709,950389
98,6111809938265,6111810888562,950297
99,6111810938191,6111811888822,950631
100,6111811938118,6111812889285,951167
101,6111812938063,6111813888823,950760
102,6111813937990,6111814888657,950667
103,6111814937916,6111815888547,950631
104,6111815937862,6111816888492,950630
105,6111816937844,6111817888252,950408
106,6111817937752,6111818887993,950241
107,6111818937697,6111819888142,950445
108,6111819937642,6111820888476,950834
109,6111820937569,6111821887977,950408
110,6111821937551,6111822887996,950445
111,6111822937459,6111823887738,950279
112,6111823937367,6111824888276,950909
113,6111824937331,6111825887776,950445
114,6111825937258,6111826887629,950371
115,6111826937203,6111827887296,950093
116,6111827937130,6111828887593,950463
117,6111828937093,6111829887631,950538
118,6111829937020,6111830887354,950334
119,6111830936965,6111831887318,950353
120,6111831936892,6111832888004,951112
121,6111832936855,6111833887227,950372
122,6111833936782,6111834887042,950260
123,6111834936709,6111835887117,950408
124,6111835936654,6111836887062,950408
125,6111836936618,6111837886952,950334
126,6111837936544,6111838886582,950038
127,6111838936471,6111839886768,950297
128,6111839936398,6111840887158,950760
129,6111840936324,6111841886603,950279
130,6111841936288,6111842886844,950556
131,6111842936196,6111843886493,950297
132,6111843936141,6111844886457,950316
133,6111844936123,6111845886495,950372
134,6111845936032,6111846886347,950315
135,6111846935977,6111847886459,950482
136,6111847935903,6111848886534,950631
137,6111848935867,6111849886386,950519
138,6111849935794,6111850886128,950334
139,6111850935720,6111851886203,950483
140,6111851935666,6111852887074,951408
141,6111852935611,6111853885982,950371
142,6111853935519,6111854885501,949982
143,6111854935464,6111855885576,950112
144,6111855935428,6111856886410,950982
145,6111856935373,6111857885929,950556
146,6111857935281,6111858885597,950316
147,6111858935226,6111859885931,950705
148,6111859935153,6111860886172,951019
149,6111860935117,6111861885617,950500
150,6111861935006,6111862885248,950242
151,6111862934988,6111863885378,950390
152,6111863934915,6111864886416,951501
153,6111864934879,6111865885361,950482
154,6111865934805,6111866885047,950242
155,6111866934732,6111867884918,950186
156,6111867934677,6111868886345,951668
157,6111868934622,6111869885012,950390
158,6111869934568,6111870884865,950297
159,6111870934494,6111871884643,950149
160,6111871934421,6111872886070,951649
161,6111872934366,6111873884589,950223
162,6111873934293,6111874884719,950426
163,6111874934219,6111875884646,950427
164,6111875934183,6111876885499,951316
165,6111876934110,6111877884388,950278
166,6111877934055,6111878884185,950130
167,6111878933982,6111879884093,950111
168,6111879933927,6111880885613,951686
169,6111880933872,6111881884280,950408
170,6111881933817,6111882884836,951019
171,6111882933762,6111883884318,950556
172,6111883933670,6111884885153,951483
173,6111884933616,6111885883746,950130
174,6111885933579,6111886884098,950519
175,6111886933469,6111887884192,950723
176,6111887933414,6111888884841,951427
177,6111888933396,6111889883823,950427
178,6111889933304,6111890883546,950242
179,6111890933249,6111891883621,950372
180,6111891933195,6111892885473,952278
181,6111892933121,6111893883289,950168
182,6111893933048,6111894883160,950112
183,6111894933012,6111895883327,950315
184,6111895932938,6111896886235,953297
185,6111896932902,6111897883329,950427
186,6111897932829,6111898883052,950223
187,6111898932755,6111899882997,950242
188,6111899932682,6111900883090,950408
189,6111900932646,6111901882961,950315
190,6111901932572,6111902883017,950445
191,6111902932499,6111903882870,950371
192,6111903932463,6111904882797,950334
193,6111904932408,6111905882760,950352
194,6111905932353,6111906883076,950723
195,6111906932243,6111907882595,950352
196,6111907932188,6111908882763,950575
197,6111908932151,6111909882448,950297
198,6111909932115,6111910882320,950205
199,6111910932005,6111911882431,950426
200,6111911931950,6111912883043,951093
201,6111912931895,6111913882155,950260
202,6111913931822,6111914882063,950241
203,6111914931767,6111915882619,950852
204,6111915931712,6111916882083,950371
205,6111916931657,6111917882010,950353
206,6111917931565,6111918881936,950371
207,6111918931529,6111919881548,950019
208,6111919931456,6111920881790,950334
209,6111920931401,6111921881883,950482
210,6111921931328,6111922881569,950241
211,6111922931273,6111923881699,950426
212,6111923931199,6111924882682,951483
213,6111924931145,6111925881571,950426
214,6111925931071,6111926881350,950279
215,6111926930998,6111927881554,950556
216,6111927930962,6111928881240,950278
