seq,irq_ts_ns,recv_ts_ns,latency_ns
0,6645064619297,6645065612706,993409
1,6645065612909,6645066596651,983742
2,6645066610688,6645067611040,1000352
3,6645067613392,6645068616986,1003594
4,6645068619411,6645069625449,1006038
5,6645069626449,6645070628265,1001816
6,6645070627746,6645071636303,1008557
7,6645071617562,6645072636766,1019204
8,6645072617526,6645073625915,1008389
9,6645073627674,6645074614360,986686
10,6645074620212,6645075600472,980260
11,6645075609639,6645076587640,978001
12,6645076609695,6645077588751,979056
13,6645077609770,6645078590826,981056
14,6645078609789,6645079589475,979686
15,6645079609882,6645080589846,979964
16,6645080609494,6645081585939,976445
17,6645081609625,6645082588199,978574
18,6645082609366,6645083588996,979630
19,6645083609496,6645084587997,978501
20,6645084609923,6645085592516,982593
21,6645085608942,6645086586573,977631
22,6645086608851,6645087588610,979759
23,6645087608796,6645088589019,980223
24,6645088608704,6645089587630,978926
25,6645089608668,6645090590279,981611
26,6645090608576,6645091588002,979426
27,6645091608521,6645092584151,975630
28,6645092608484,6645093588578,980094
29,6645093608430,6645094587467,979037
30,6645094608467,6645095589746,981279
31,6645095608376,6645096588321,979945
32,6645096608561,6645097586470,977909
33,6645097608525,6645098588711,980186
34,6645098608193,6645099586286,978093
35,6645099608360,6645100586731,978371
36,6645100608213,6645101602621,994408
37,6645101609361,6645102608603,999242
38,6645102609084,6645103601641,992557
39,6645103609048,6645104586641,977593
40,6645104608012,6645105588901,980889
41,6645105607809,6645106586847,979038
42,6645106607754,6645107588310,980556
43,6645107607625,6645108587570,979945
44,6645108607737,6645109584886,977149
45,6645109607589,6645110586553,978964
46,6645110607442,6645111588350,980908
47,6645111607369,6645112586832,979463
48,6645112607351,6645113587759,980408
49,6645113607278,6645114587834,980556
50,6645114607297,6645115588075,980778
51,6645115607205,6645116584372,977167
52,6645116607502,6645117587910,980408
53,6645117607429,6645118586244,978815
54,6645118607040,6645119585634,978594
55,6645119607023,6645120588875,981852
56,6645120607042,6645121587487,980445
57,6645121606857,6645122584580,977723
58,6645122607062,6645123586340,979278
59,6645123606692,6645124586100,979408
60,6645124607193,6645125586249,979056
61,6645125606638,6645126586231,979593
62,6645126606954,6645127586621,979667
63,6645127606769,6645128587066,980297
64,6645128606437,6645129586789,980352
65,6645129606660,6645130587901,981241
66,6645130606308,6645131585846,979538
67,6645131606272,6645132584865,978593
68,6645132606180,6645133583774,977594
69,6645133606125,6645134584811,978686
70,6645134606052,6645135586497,980445
71,6645135606016,6645136586831,980815
72,6645136606313,6645137582776,976463
73,6645137606295,6645138584666,978371
74,6645138605925,6645139584704,978779
75,6645139605815,6645140586019,980204
76,6645140605908,6645141585835,979927
77,6645141605687,6645142585150,979463
78,6645142605910,6645143585447,979537
79,6645143605707,6645144586244,980537
80,6645144606096,6645145587967,981871
81,6645145605486,6645146585227,979741
82,6645146605561,6645147583802,978241
83,6645147605302,6645148585229,979927
84,6645148605266,6645149585267,980001
85,6645149605100,6645150583582,978482
86,6645150605267,6645151584638,979371
87,6645151605083,6645152583843,978760
88,6645152605102,6645153584492,979390
89,6645153605270,6645154585307,980037
90,6645154604974,6645155584345,979371
91,6645155604901,6645156581642,976741
92,6645156604883,6645157583884,979001
93,6645157605328,6645158582699,977371
94,6645158604773,6645159583755,978982
95,6645159604663,6645160583830,979167
96,6645160604608,6645161583442,978834
97,6645161604664,6645162586128,981464
98,6645162604498,6645163583869,979371
99,6645163604573,6645164585629,981056
100,6645164604389,6645165583371,978982
101,6645165604334,6645166585390,981056
102,6645166604279,6645167583261,978982
103,6645167604206,6645168583336,979130
104,6645168604114,6645169582948,978834
105,6645169604300,6645170585171,980871
106,6645170603967,6645171583597,979630
107,6645171604005,6645172583857,979852
108,6645172603895,6645173584432,980537
109,6645173603877,6645174583248,979371
110,6645174603933,6645175606082,1002149
111,6645175608341,6645176608509,1000168
112,6645176611416,6645177615880,1004464
113,6645177616528,6645178618714,1002186
114,6645178621066,6645179627159,1006093
115,6645179608807,6645180620974,1012167
116,6645180621234,6645181621938,1000704
117,6645181621253,6645182629717,1008464
118,6645182609902,6645183621921,1012019
119,6645183621106,6645184622459,1001353
120,6645184621033,6645185628793,1007760
121,6645185609460,6645186619979,1010519
122,6645186620997,6645187622202,1001205
123,6645187620850,6645188628314,1007464
124,6645188609239,6645189620333,1011094
125,6645189620740,6645190622537,1001797
126,6645190620704,6645191627760,1007056
127,6645191608445,6645192617779,1009334
128,6645192620002,6645193629262,1009260
129,6645193609817,6645194621244,1011427
130,6645194620466,6645195627022,1006556
131,6645195608430,6645196609319,1000889
132,6645196612319,6645197603042,990723
133,6645197605616,6645198594987,989371
134,6645198603302,6645199592173,988871
135,6645199602618,6645200593137,990519
136,6645200602730,6645201594916,992186
137,6645201602249,6645202591490,989241
138,6645202602472,6645203594417,991945
139,6645203602713,6645204592658,989945
140,6645204602529,6645205596789,994260
141,6645205602196,6645206591086,988890
142,6645206602864,6645207594198,991334
143,6645207602679,6645208590939,988260
144,6645208603180,6645209595607,992427
145,6645209602458,6645210590533,988075
146,6645210602441,6645211592164,989723
147,6645211601904,6645212592220,990316
148,6645212601979,6645213592461,990482
149,6645213601795,6645214591573,989778
150,6645214602055,6645215590741,988686
151,6645215602778,6645216592964,990186
152,6645216601889,6645217590927,989038
153,6645217602761,6645218590613,987852
154,6645218602354,6645219591206,988852
155,6645219601466,6645220594559,993093
156,6645220601596,6645221590800,989204
157,6645221601449,6645222592857,991408
158,6645222601505,6645223591561,990056
159,6645223601358,6645224594266,992908
160,6645224601062,6645225591766,990704
161,6645225601155,6645226592860,991705
162,6645226601249,6645227590583,989334
163,6645227600990,6645228592787,991797
164,6645228601194,6645229590214,989020
165,6645229600936,6645230597233,996297
166,6645230600751,6645231590141,989390
167,6645231601993,6645232590994,989001
168,6645232600883,6645233592791,991908
169,6645233600994,6645234592143,991149
170,6645234600588,6645235590811,990223
171,6645235600625,6645236589811,989186
172,6645236600423,6645237593553,993130
173,6645237601275,6645238589720,988445
174,6645238601442,6645239591665,990223
175,6645239600314,6645240591129,990815
176,6645240600388,6645241590389,990001
177,6645241600148,6645242590631,990483
178,6645242600038,6645243588539,988501
179,6645243600724,6645244589910,989186
180,6645244600021,6645245591688,991667
181,6645245600318,6645246589374,989056
182,6645246600022,6645247590690,990668
183,6645247600023,6645248588061,988038
184,6645248600653,6645249591339,990686
185,6645249600339,6645250589062,988723
186,6645250599655,6645251590193,990538
187,6645251599730,6645252588601,988871
188,6645252599471,6645253591324,991853
189,6645253599990,6645254587899,987909
190,6645254600047,6645255593973,993926
191,6645255599214,6645256587419,988205
192,6645256599474,6645257588290,988816
193,6645257599790,6645258592272,992482
194,6645258598920,6645259587273,988353
195,6645259599254,6645260589162,989908
196,6645260599255,6645261587959,988704
197,6645261599774,6645262591164,991390
198,6645262599256,6645263588053,988797
199,6645263598942,6645264588072,989130
200,6645264598869,6645265587555,988686
201,6645265599740,6645266588278,988538
202,6645266598722,6645267589519,990797
203,6645267598852,6645268588557,989705
204,6645268598649,6645269588669,990020
205,6645269598576,6645270586651,988075
206,6645270598558,6645271587578,989020
207,6645271599078,6645272588541,989463
208,6645272598560,6645273587486,988926
209,6645273599449,6645274590043,990594
210,6645274598561,6645275588395,989834
211,6645275598377,6645276589952,991575
212,6645276598081,6645277587656,989575
213,6645277598397,6645278593101,994704
214,6645278598101,6645279587213,989112
215,6645279599083,6645280590658,991575
216,6645280597732,6645281585863,988131
217,6645281597714,6645282588678,990964
218,6645282597882,6645283587309,989427
219,6645283597771,6645284587939,990168
220,6645284597791,6645285588328,990537
221,6645285597810,6645286589107,991297
222,6645286597551,6645287586071,988520
223,6645287598015,6645288589053,991038
224,6645288597534,6645289585905,988371
225,6645289598072,6645290589684,991612
226,6645290597740,6645291586611,988871
227,6645291598518,6645292590093,991575
228,6645292597204,6645293586853,989649
229,6645293597334,6645294588557,991223
230,6645294597205,6645295588577,991372
231,6645295597058,6645296587818,990760
232,6645296597151,6645297585485,988334
233,6645297597522,6645298587819,990297
234,6645298597042,6645299585505,988463
235,6645299597635,6645300588395,990760
236,6645300596839,6645301585507,988668
237,6645301597303,6645302587470,990167
238,6645302596767,6645303585249,988482
239,6645303597379,6645304587102,989723
240,6645304596713,6645305585639,988926
241,6645305597750,6645306588955,991205
242,6645306597177,6645307585030,987853
243,6645307597067,6645308588401,991334
244,6645308598790,6645309588031,989241
245,6645309597402,6645310588921,991519
246,6645310596421,6645311586940,990519
247,6645311596459,6645312587422,990963
248,6645312596737,6645313586719,989982
249,6645313596404,6645314588183,991779
250,6645314597424,6645315588073,990649
251,6645315597573,6645316587055,989482
252,6645316596370,6645317587074,990704
253,6645317596278,6645318589667,993389
254,6645318597167,6645319587335,990168
255,6645319596594,6645320589335,992741
256,6645320596539,6645321586447,989908
257,6645321595688,6645322588226,992538
258,6645322595559,6645323585078,989519
259,6645323595689,6645324589098,993409
260,6645324596690,6645325588469,991779
261,6645325596024,6645326588340,992316
262,6645326595729,6645327586192,990463
263,6645327595692,6645328584638,988946
264,6645328595249,6645329591509,996260
265,6645329595175,6645330590546,995371
266,6645330595158,6645331589547,994389
267,6645331595066,6645332588640,993574
268,6645332595881,6645333590863,994982
269,6645333594919,6645334590772,995853
270,6645334594883,6645335590994,996111
271,6645335594865,6645336588995,994130
272,6645336596014,6645337591514,995500
273,6645337594663,6645338588015,993352
274,6645338595219,6645339590997,995778
275,6645339594664,6645340587183,992519
276,6645340594406,6645341589740,995334
277,6645341594462,6645342590907,996445
278,6645342594407,6645343589519,995112
279,6645343594371,6645344588834,994463
280,6645344594279,6645345592761,998482
281,6645345594780,6645346588891,994111
282,6645346594188,6645347590262,996074
283,6645347594133,6645348587948,993815
284,6645348595226,6645349591227,996001
285,6645349594023,6645350587839,993816
286,6645350595135,6645351589691,994556
287,6645351593932,6645352586766,992834
288,6645352594285,6645353589674,995389
289,6645353593730,6645354588156,994426
290,6645354593749,6645355589157,995408
291,6645355593639,6645356586325,992686
292,6645356593584,6645357587677,994093
293,6645357594807,6645358589437,994630
294,6645358593511,6645359590512,997001
295,6645359593456,6645360585976,992520
296,6645360593179,6645361589106,995927
297,6645361593310,6645362587607,994297
298,6645362593273,6645363588793,995520
299,6645363593200,6645364585479,992279
300,6645364594849,6645365589887,995038
301,6645365593072,6645366586369,993297
302,6645366593702,6645367589314,995612
303,6645367592944,6645368587537,994593
304,6645368593074,6645369587167,994093
305,6645369592871,6645370586983,994112
306,6645370594113,6645371590465,996352
307,6645371593021,6645372586503,993482
308,6645372594095,6645373590392,996297
309,6645373592633,6645374584171,991538
310,6645374593875,6645375591598,997723
311,6645375594283,6645376585395,991112
312,6645376592635,6645377588562,995927
313,6645377592395,6645378585341,992946
314,6645378592637,6645379589304,996667
315,6645379592323,6645380584342,992019
316,6645380593786,6645381590028,996242
317,6645381592639,6645382586399,993760
318,6645382593455,6645383587918,994463
319,6645383592140,6645384585271,993131
320,6645384592993,6645385588272,995279
321,6645385591975,6645386587643,995668
322,6645386591920,6645387586866,994946
323,6645387591866,6645388586459,994593
324,6645388591755,6645389586867,995112
325,6645389591830,6645390586034,994204
326,6645390591646,6645391587369,995723
327,6645391591591,6645392586480,994889
328,6645392591499,6645393586018,994519
329,6645393591481,6645394588334,996853
330,6645394591426,6645395587742,996316
331,6645395591334,6645396584650,993316
332,6645396592002,6645397588077,996075
333,6645397591243,6645398584522,993279
334,6645398591874,6645399586560,994686
335,6645399591134,6645400583838,992704
336,6645400591116,6645401585691,994575
337,6645401590987,6645402586691,995704
338,6645402590988,6645403586396,995408
339,6645403590933,6645404585100,994167
340,6645404592156,6645405586564,994408
341,6645405590768,6645406583194,992426
342,6645406590602,6645407586713,996111
343,6645407590658,6645408584436,993778
344,6645408591677,6645409588678,997001
345,6645409591567,6645410586679,995112
346,6645410590530,6645411585809,995279
347,6645411590476,6645412583754,993278
348,6645412590884,6645413585422,994538
349,6645413590329,6645414586070,995741
350,6645414590293,6645415585201,994908
351,6645415590219,6645416585739,995520
352,6645416590127,6645417585147,995020
353,6645417590110,6645418586573,996463
354,6645418590129,6645419585056,994927
355,6645419589981,6645420584130,994149
356,6645420591241,6645421586964,995723
357,6645421589909,6645422583761,993852
358,6645422591095,6645423586910,995815
359,6645423589762,6645424583578,993816
360,6645424590948,6645425586930,995982
361,6645425589690,6645426584524,994834
362,6645426589616,6645427583487,993871
363,6645427590747,6645428586044,995297
364,6645428589488,6645429583785,994297
365,6645429590674,6645430584749,994075
366,6645430589360,6645431585194,995834
367,6645431589305,6645432582380,993075
368,6645432589528,6645433584806,995278
369,6645433589177,6645434582603,993426
370,6645434589974,6645435584567,994593
371,6645435589067,6645436583364,994297
372,6645436588994,6645437584532,995538
373,6645437588939,6645438583755,994816
374,6645438588903,6645439584163,995260
375,6645439588829,6645440583423,994594
376,6645440588849,6645441583035,994186
377,6645441590072,6645442587165,997093
378,6645442589739,6645443584851,995112
379,6645443588610,6645444582407,993797
380,6645444589889,6645445585334,995445
381,6645445588463,6645446583964,995501
382,6645446588483,6645447583891,995408
383,6645447588391,6645448582373,993982
384,6645448589614,6645449585577,995963
385,6645449588503,6645450583597,995094
386,6645450588245,6645451583320,995075
387,6645451588134,6645452582542,994408
388,6645452588042,6645453581321,993279
389,6645453588488,6645454584488,996000
390,6645454588007,6645455584045,996038
391,6645455587952,6645456581842,993890
392,6645456589138,6645457584676,995538
393,6645457587787,6645458581880,994093
394,6645458589139,6645459585085,995946
395,6645459587677,6645460580382,992705
396,6645460587659,6645461582938,995279
397,6645461587531,6645462581198,993667
398,6645462588457,6645463583050,994593
399,6645463587495,6645464582255,994760
400,6645464587385,6645465581867,994482
401,6645465587385,6645466581238,993853
402,6645466588516,6645467583831,995315
403,6645467587239,6645468578943,991704
404,6645468588887,6645469584407,995520
405,6645469587296,6645470581278,993982
406,6645470588389,6645471585130,996741
407,6645471587779,6645472581983,994204
408,6645472586909,6645473580484,993575
409,6645473587761,6645474584207,996446
410,6645474586818,6645475582189,995371
411,6645475586763,6645476581838,995075
412,6645476586690,6645477581413,994723
413,6645477586727,6645478581506,994779
414,6645478586598,6645479582470,995872
415,6645479586562,6645480580155,993593
416,6645480587359,6645481582212,994853
417,6645481586397,6645482581305,994908
418,6645482586472,6645483580565,994093
419,6645483587621,6645484580140,992519
420,6645484587344,6645485582566,995222
421,6645485586215,6645486579771,993556
422,6645486586178,6645487583086,996908
423,6645487586142,6645488580421,994279
424,6645488586050,6645489581606,995556
425,6645489585995,6645490580570,994575
426,6645490585922,6645491589460,1003538
427,6645491590071,6645492585294,995223
428,6645492587923,6645493580998,993075
429,6645493585739,6645494578758,993019
430,6645494586110,6645495582074,995964
431,6645495585629,6645496579167,993538
432,6645496586445,6645497581779,995334
433,6645497585501,6645498578854,993353
434,6645498586057,6645499581947,995890
435,6645499585373,6645500579059,993686
436,6645500586300,6645501580541,994241
437,6645501585226,6645502580079,994853
438,6645502585227,6645503581302,996075
439,6645503585172,6645504578340,993168
440,6645504585636,6645505584951,999315
441,6645505587396,6645506584415,997019
442,6645506587026,6645507584453,997427
443,6645507586879,6645508581824,994945
444,6645508585065,6645509581862,996797
445,6645509584825,6645510579159,994334
446,6645510584788,6645511582085,997297
447,6645511584734,6645512577956,993222
448,6645512585290,6645513581179,995889
449,6645513584587,6645514577347,992760
450,6645514584551,6645515580422,995871
451,6645515584496,6645516582959,998463
452,6645516585515,6645517580238,994723
453,6645517584368,6645518580016,995648
454,6645518584313,6645519579165,994852
455,6645519584258,6645520578314,994056
456,6645520585425,6645521580852,995427
457,6645521584111,6645522581167,997056
