seq,irq_ts_ns,recv_ts_ns,latency_ns
0,6041759846411,6041760812078,965667
1,6041760837171,6041761789338,952167
2,6041761842172,6041762793450,951278
3,6041762842080,6041763793006,950926
4,6041763841988,6041764795729,953741
5,6041764841970,6041765792545,950575
6,6041765841915,6041766792657,950742
7,6041766841823,6041767792528,950705
8,6041767841750,6041768792621,950871
9,6041768841714,6041769792603,950889
10,6041769841640,6041770792419,950779
11,6041770841567,6041771792197,950630
12,6041771841494,6041772792235,950741
13,6041772841457,6041773792254,950797
14,6041773841366,6041774792348,950982
15,6041774841311,6041775792052,950741
16,6041775841293,6041776797423,956130
17,6041776841294,6041777792109,950815
18,6041777841128,6041778791721,950593
19,6041778841091,6041779791777,950686
20,6041779841037,6041780792685,951648
21,6041780840982,6041781791631,950649
22,6041781840890,6041782791428,950538
23,6041782840817,6041783791169,950352
24,6041783840743,6041784792540,951797
25,6041784840725,6041785791652,950927
26,6041785840634,6041786791505,950871
27,6041786840560,6041787791320,950760
28,6041787840487,6041788792136,951649
29,6041788840469,6041789791174,950705
30,6041789840396,6041790791137,950741
31,6041790840341,6041791791731,951390
32,6041791840249,6041792793213,952964
33,6041792840213,6041793792825,952612
34,6041793840121,6041794792548,952427
35,6041794840066,6041795792307,952241
36,6041795840011,6041796795160,955149
37,6041796840290,6041797805605,965315
38,6041797841309,6041798793606,952297
39,6041798839828,6041799790551,950723
40,6041799839866,6041800792681,952815
41,6041800839830,6041801791793,951963
42,6041801839664,6041802790961,951297
43,6041802839553,6041803790387,950834
44,6041803839499,6041804790981,951482
45,6041804839444,6041805790407,950963
46,6041805839352,6041806790223,950871
47,6041806839334,6041807789890,950556
48,6041807839224,6041808790113,950889
49,6041808839187,6041809789781,950594
50,6041809839095,6041810790004,950909
51,6041810839022,6041811789671,950649
52,6041811838986,6041812790579,951593
53,6041812839042,6041813789709,950667
54,6041813838876,6041814790599,951723
55,6041814838840,6041815789229,950389
56,6041815838748,6041816789841,951093
57,6041816838730,6041817789231,950501
58,6041817838601,6041818789361,950760
59,6041818838565,6041819789380,950815
60,6041819838492,6041820790122,951630
61,6041820838437,6041821789252,950815
62,6041821838363,6041822788790,950427
63,6041822838290,6041823788439,950149
64,6041823838235,6041824788977,950742
65,6041824838217,6041825788477,950260
66,6041825838107,6041826788349,950242
67,6041826838052,6041827788460,950408
68,6041827837997,6041828789202,951205
69,6041828837980,6041829788721,950741
70,6041829837869,6041830788426,950557
71,6041830837777,6041831788186,950409
72,6041831837723,6041832788279,950556
73,6041832837742,6041833788502,950760
74,6041833837613,6041834788614,951001
75,6041834837595,6041835788188,950593
76,6041835837485,6041836788171,950686
77,6041836837448,6041837787968,950520
78,6041837837375,6041838788042,950667
79,6041838837302,6041839788080,950778
80,6041839837228,6041840787988,950760
81,6041840837174,6041841787841,950667
82,6041841837137,6041842787360,950223
83,6041842837045,6041843787157,950112
84,6041843836972,6041844787584,950612
85,6041844836917,6041845787122,950205
86,6041845836844,6041846787104,950260
87,6041846836771,6041847787012,950241
88,6041847836716,6041848787661,950945
89,6041848836698,6041849787199,950501
90,6041849836588,6041850787199,950611
91,6041850836533,6041851787237,950704
92,6041851836478,6041852786923,950445
93,6041852836423,6041853787202,950779
94,6041853836368,6041854787276,950908
95,6041854836295,6041855786833,950538
96,6041855836240,6041856786926,950686
97,6041856836167,6041857786797,950630
98,6041857836112,6041858786872,950760
99,6041858836039,6041859786724,950685
100,6041859835965,6041860788558,952593
101,6041860835947,6041861786559,950612
102,6041861835818,6041862786467,950649
103,6041862835801,6041863786468,950667
104,6041863835727,6041864786376,950649
105,6041864835673,6041865786173,950500
106,6041865835599,6041866786007,950408
107,6041866835507,6041867785878,950371
108,6041867835471,6041868785972,950501
109,6041868835435,6041869785695,950260
110,6041869835324,6041870785862,950538
111,6041870835269,6041871785715,950446
112,6041871835233,6041872786382,951149
113,6041872835160,6041873785735,950575
114,6041873835105,6041874786513,951408
115,6041874835050,6041875785625,950575
116,6041875834958,6041876785477,950519
117,6041876834940,6041877785478,950538
118,6041877834849,6041878785609,950760
119,6041878834775,6041879785350,950575
120,6041879834720,6041880785758,951038
121,6041880834629,6041881785389,950760
122,6041881834592,6041882785130,950538
123,6041882834519,6041883785075,950556
124,6041883834446,6041884785798,951352
125,6041884834409,6041885784947,950538
126,6041885834336,6041886784781,950445
127,6041886834263,6041887784856,950593
128,6041887834189,6041888785894,951705
129,6041888834134,6041889784876,950742
130,6041889834080,6041890784562,950482
131,6041890834006,6041891784618,950612
132,6041891833951,6041892784619,950668
133,6041892833897,6041893784379,950482
134,6041893833842,6041894784805,950963
135,6041894833768,6041895784288,950520
136,6041895833677,6041896784344,950667
137,6041896833640,6041897784030,950390
138,6041897833548,6041898784049,950501
139,6041898833531,6041899784272,950741
140,6041899833439,6041900784347,950908
141,6041900833402,6041901784125,950723
142,6041901833311,6041902783904,950593
143,6041902833219,6041903783905,950686
144,6041903833182,6041904784220,951038
145,6041904833146,6041905783999,950853
146,6041905833054,6041906783536,950482
147,6041906832962,6041907783500,950538
148,6041907832926,6041908784501,951575
149,6041908832908,6041909783594,950686
150,6041909832798,6041910783465,950667
151,6041910832780,6041911783577,950797
152,6041911832688,6041912783911,951223
153,6041912832689,6041913783356,950667
154,6041913832597,6041914783542,950945
155,6041914832524,6041915783061,950537
156,6041915832432,6041916784284,951852
157,6041916832358,6041917783267,950909
158,6041917832304,6041918782990,950686
159,6041918832230,6041919782731,950501
160,6041919832175,6041920784509,952334
161,6041920832158,6041921782640,950482
162,6041921832066,6041922782566,950500
163,6041922832029,6041923782734,950705
164,6041923831956,6041924784364,952408
165,6041924831920,6041925782328,950408
166,6041925831809,6041926782699,950890
167,6041926831718,6041927782329,950611
168,6041927831663,6041928783256,951593
169,6041928831645,6041929782460,950815
170,6041929831553,6041930782220,950667
171,6041930831498,6041931782610,951112
172,6041931831425,6041932783389,951964
173,6041932831481,6041933782093,950612
174,6041933831315,6041934781983,950668
175,6041934831260,6041935782020,950760
176,6041935831169,6041936782817,951648
177,6041936831114,6041937781670,950556
178,6041937831059,6041938781467,950408
179,6041938830986,6041939781653,950667
180,6041939830912,6041940782505,951593
181,6041940830857,6041941781469,950612
182,6041941830803,6041942781414,950611
183,6041942830729,6041943781304,950575
184,6041943830674,6041944782360,951686
185,6041944830620,6041945781231,950611
186,6041945830546,6041946781139,950593
187,6041946830510,6041947781251,950741
188,6041947830325,6041948782456,952131
189,6041948830382,6041949780956,950574
190,6041949830327,6041950781013,950686
191,6041950830254,6041951781162,950908
192,6041951830180,6041952781959,951779
193,6041952830125,6041953780737,950612
194,6041953830052,6041954781405,951353
195,6041954829997,6041955780702,950705
196,6041955829924,6041956781850,951926
197,6041956829850,6041957780518,950668
198,6041957829814,6041958780463,950649
199,6041958829741,6041959780353,950612
200,6041959829667,6041960781483,951816
201,6041960829613,6041961780021,950408
202,6041961829521,6041962780096,950575
203,6041962829447,6041963780189,950742
204,6041963829393,6041964781745,952352
205,6041964829375,6041965780116,950741
206,6041965829264,6041966779765,950501
207,6041966829247,6041967779895,950648
208,6041967829173,6041968780785,951612
209,6041968829118,6041969779564,950446
210,6041969829045,6041970779601,950556
211,6041970828990,6041971779732,950742
212,6041971828898,6041972781973,953075
213,6041972828844,6041973779659,950815
214,6041973828770,6041974779567,950797
215,6041974828752,6041975780383,951631
216,6041975828642,6041976780180,951538
217,6041976828606,6041977779625,951019
218,6041977828532,6041978779144,950612
219,6041978828478,6041979778960,950482
220,6041979828423,6041980779961,951538
221,6041980828349,6041981778998,950649
222,6041981828276,6041982779018,950742
223,6041982828203,6041983778889,950686
224,6041983828148,6041984781167,953019
225,6041984828112,6041985778909,950797
226,6041985828020,6041986778539,950519
227,6041986827965,6041987778725,950760
228,6041987827929,6041988779392,951463
229,6041988827855,6041989778597,950742
230,6041989827782,6041990778394,950612
231,6041990827709,6041991778172,950463
232,6041991827635,6041992779210,951575
233,6041992827599,6041993778174,950575
234,6041993827526,6041994778563,951037
235,6041994827471,6041995778231,950760
236,6041995827379,6041996779565,952186
237,6041996827343,6041997777954,950611
238,6041997827251,6041998778011,950760
239,6041998827214,6041999778030,950816
240,6041999827141,6042000778808,951667
241,6042000827086,6042001777809,950723
242,6042001826994,6042002777458,950464
243,6042002826958,6042003777588,950630
244,6042003826903,6042004779441,952538
245,6042004826867,6042005777386,950519
246,6042005826812,6042006777276,950464
247,6042006826720,6042007777499,950779
248,6042007826684,6042008778462,951778
249,6042008826611,6042009777222,950611
250,6042009826537,6042010777205,950668
251,6042010826445,6042011777020,950575
252,6042011826372,6042012778021,951649
253,6042012826317,6042013777003,950686
254,6042013826262,6042014776948,950686
255,6042014826207,6042015776801,950594
256,6042015826153,6042016777839,951686
257,6042016826079,6042017776784,950705
258,6042017826024,6042018776618,950594
259,6042018825970,6042019776674,950704
260,6042019825896,6042020777619,951723
261,6042020825841,6042021776713,950872
262,6042021825750,6042022776417,950667
263,6042022825676,6042023776140,950464
264,6042023825640,6042024776770,951130
265,6042024825622,6042025776290,950668
266,6042025825530,6042026775809,950279
267,6042026825438,6042027775921,950483
268,6042027825365,6042028776088,950723
269,6042028825366,6042029775978,950612
270,6042029825255,6042030775775,950520
271,6042030825182,6042031775757,950575
272,6042031825127,6042032776091,950964
273,6042032825072,6042033775906,950834
274,6042033824999,6042034775703,950704
275,6042034824944,6042035775426,950482
276,6042035824889,6042036775612,950723
277,6042036824816,6042037775539,950723
278,6042037824743,6042038775355,950612
279,6042038824706,6042039775411,950705
280,6042039824615,6042040775541,950926
281,6042040824560,6042041775264,950704
282,6042041824505,6042042775191,950686
283,6042042824450,6042043775099,950649
284,6042043824377,6042044775914,951537
285,6042044824322,6042045775008,950686
286,6042045824249,6042046774675,950426
287,6042046824175,6042047774639,950464
288,6042047824120,6042048775677,951557
289,6042048824047,6042049774511,950464
290,6042049823992,6042050774641,950649
291,6042050823956,6042051774420,950464
292,6042051823864,6042052775587,951723
293,6042052823828,6042053774495,950667
294,6042053823736,6042054774274,950538
295,6042054823662,6042055774293,950631
296,6042055823608,6042056775497,951889
297,6042056823571,6042057773979,950408
298,6042057823498,6042058774054,950556
299,6042058823406,6042059774055,950649
300,6042059823351,6042060773982,950631
301,6042060823296,6042061773742,950446
302,6042061823223,6042062773779,950556
303,6042062823187,6042063773836,950649
304,6042063823113,6042064774336,951223
305,6042064823077,6042065773819,950742
306,6042065823004,6042066773597,950593
307,6042066822930,6042067773616,950686
308,6042067822857,6042068773506,950649
309,6042068822821,6042069773284,950463
310,6042069822710,6042070773119,950409
311,6042070822674,6042071773341,950667
312,6042071822619,6042072773101,950482
313,6042072822564,6042073773121,950557
314,6042073822473,6042074773195,950722
315,6042074822418,6042075773215,950797
316,6042075822344,6042076773234,950890
317,6042076822327,6042077772901,950574
318,6042077822235,6042078772865,950630
319,6042078822143,6042079772588,950445
320,6042079822070,6042080773015,950945
321,6042080822070,6042081772738,950668
322,6042081821997,6042082772479,950482
323,6042082821942,6042083772406,950464
324,6042083821850,6042084772758,950908
325,6042084821777,6042085772611,950834
326,6042085821741,6042086772278,950537
327,6042086821667,6042087772168,950501
328,6042087821594,6042088772372,950778
329,6042088821576,6042089771892,950316
330,6042089821484,6042090771874,950390
331,6042090821466,6042091771708,950242
332,6042091821338,6042092771968,950630
333,6042092821301,6042093771876,950575
334,6042093821209,6042094771969,950760
335,6042094821155,6042095772489,951334
336,6042095821100,6042096771897,950797
337,6042096821045,6042097771583,950538
338,6042097820972,6042098771583,950611
339,6042098820898,6042099771584,950686
340,6042099820862,6042100771733,950871
341,6042100820789,6042101771456,950667
342,6042101820715,6042102771308,950593
343,6042102820679,6042103771346,950667
344,6042103820606,6042104771606,951000
345,6042104820569,6042105771144,950575
346,6042105820496,6042106770774,950278
347,6042106820404,6042107770979,950575
348,6042107820331,6042108771220,950889
349,6042108820294,6042109770943,950649
350,6042109820240,6042110770592,950352
351,6042110820148,6042111770741,950593
352,6042111820093,6042112771297,951204
353,6042112820056,6042113770576,950520
354,6042113819983,6042114770484,950501
355,6042114819891,6042115770929,951038
356,6042115819836,6042116770670,950834
357,6042116819782,6042117770301,950519
358,6042117819690,6042118770265,950575
359,6042118819635,6042119770413,950778
360,6042119819617,6042120770507,950890
361,6042120819525,6042121770470,950945
362,6042121819470,6042122770156,950686
363,6042122819397,6042123769953,950556
364,6042123819324,6042124770232,950908
365,6042124819287,6042125769862,950575
366,6042125819233,6042126769993,950760
367,6042126819141,6042127769623,950482
368,6042127819104,6042128769975,950871
369,6042128819031,6042129769495,950464
370,6042129818958,6042130769662,950704
371,6042130818903,6042131769459,950556
372,6042131818811,6042132769460,950649
373,6042132818756,6042133769238,950482
374,6042133818683,6042134769128,950445
375,6042134818628,6042135769907,951279
376,6042135818573,6042136769315,950742
377,6042136818500,6042137768797,950297
378,6042137818427,6042138768909,950482
379,6042138818390,6042139769428,951038
380,6042139818317,6042140769058,950741
381,6042140818299,6042141768929,950630
382,6042141818226,6042142768856,950630
383,6042142818115,6042143768764,950649
384,6042143818098,6042144768654,950556
385,6042144818024,6042145768729,950705
386,6042145817988,6042146768340,950352
387,6042146817878,6042147768471,950593
388,6042147817841,6042148768638,950797
389,6042148817768,6042149768324,950556
390,6042149817676,6042150768343,950667
391,6042150817621,6042151768251,950630
392,6042151817603,6042152768530,950927
393,6042152817512,6042153768031,950519
394,6042153817420,6042154768217,950797
395,6042154817365,6042155768477,951112
396,6042155817329,6042156768107,950778
397,6042156817292,6042157767867,950575
398,6042157817219,6042158767831,950612
399,6042158817127,6042159767813,950686
400,6042159817091,6042160767869,950778
401,6042160817017,6042161767611,950594
402,6042161816944,6042162767278,950334
403,6042162816889,6042163767519,950630
404,6042163816816,6042164767428,950612
405,6042164816742,6042165767502,950760
406,6042165816725,6042166767281,950556
407,6042166816633,6042167767059,950426
408,6042167816559,6042168767153,950594
409,6042168816486,6042169767431,950945
410,6042169816450,6042170767099,950649
411,6042170816376,6042171766933,950557
412,6042171816303,6042172767063,950760
413,6042172816248,6042173766860,950612
414,6042173816175,6042174766713,950538
415,6042174816102,6042175767306,951204
416,6042175816047,6042176767010,950963
417,6042176816029,6042177766659,950630
418,6042177815956,6042178766641,950685
419,6042178815864,6042179766494,950630
420,6042179815809,6042180766569,950760
421,6042180815754,6042181766366,950612
422,6042181815681,6042182766200,950519
423,6042182815644,6042183767053,951409
424,6042183815571,6042184766331,950760
425,6042184815498,6042185766072,950574
426,6042185815443,6042186766092,950649
427,6042186815370,6042187766000,950630
428,6042187815315,6042188766038,950723
429,6042188815241,6042189765779,950538
430,6042189815150,6042190765872,950722
431,6042190815095,6042191765799,950704
432,6042191815021,6042192765781,950760
433,6042192814985,6042193765652,950667
434,6042193814930,6042194765468,950538
435,6042194814857,6042195766265,951408
436,6042195814821,6042196765655,950834
437,6042196814766,6042197765155,950389
438,6042197814674,6042198765267,950593
439,6042198814600,6042199765212,950612
440,6042199814546,6042200765176,950630
441,6042200814491,6042201764917,950426
442,6042201814417,6042202765326,950909
443,6042202814363,6042203764993,950630
444,6042203814289,6042204764883,950594
445,6042204814234,6042205765050,950816
446,6042205814161,6042206764588,950427
447,6042206814106,6042207764607,950501
448,6042207814033,6042208765034,951001
449,6042208813978,6042209764683,950705
450,6042209813905,6042210764461,950556
451,6042210813831,6042211764277,950446
452,6042211813777,6042212764370,950593
453,6042212813740,6042213764278,950538
454,6042213813648,6042214764297,950649
