seq,irq_ts_ns,recv_ts_ns,latency_ns
0,6205616051185,6205617017149,965964
1,6205617041408,6205617995983,954575
2,6205618046446,6205619001021,954575
3,6205619046391,6205620007799,961408
4,6205620046318,6205621000985,954667
5,6205621046245,6205622000634,954389
6,6205622046153,6205623001227,955074
7,6205623046116,6205624037969,991853
8,6205624046080,6205625001914,955834
9,6205625046025,6205626000470,954445
10,6205626045952,6205627001545,955593
11,6205627045879,6205628004268,958389
12,6205628045824,6205629000991,955167
13,6205629045769,6205629999973,954204
14,6205630045714,6205631000067,954353
15,6205631045641,6205632002919,957278
16,6205632045604,6205633000364,954760
17,6205633045531,6205634000013,954482
18,6205634045439,6205635000884,955445
19,6205635045384,6205636004811,959427
20,6205636045311,6205637000275,954964
21,6205637045256,6205637999405,954149
22,6205638045220,6205638999128,953908
23,6205639045128,6205639998351,953223
24,6205640045240,6205640999389,954149
25,6205641045037,6205641998278,953241
26,6205642044964,6205642998205,953241
27,6205643044927,6205643998409,953482
28,6205644044909,6205644999595,954686
29,6205645044836,6205645998040,953204
30,6205646044763,6205646997837,953074
31,6205647044652,6205647998079,953427
32,6205648044672,6205648998376,953704
33,6205649044543,6205649997747,953204
34,6205650044488,6205650997600,953112
35,6205651044470,6205651997989,953519
36,6205652044397,6205652999231,954834
37,6205653044490,6205653997787,953297
38,6205654044231,6205654997436,953205
39,6205655044251,6205655997363,953112
40,6205656045289,6205657036197,990908
41,6205657041900,6205658019142,977242
42,6205658040123,6205658995161,955038
43,6205659043994,6205659996940,952946
44,6205660044606,6205661011070,966464
45,6205661039255,6205661992534,953279
46,6205662043811,6205662996831,953020
47,6205663043738,6205663996591,952853
48,6205664043720,6205664999388,955668
49,6205665043647,6205665996444,952797
50,6205666043555,6205666996463,952908
51,6205667043482,6205667996519,953037
52,6205668043464,6205668996687,953223
53,6205669043372,6205669996280,952908
54,6205670043336,6205670995948,952612
55,6205671043244,6205671996411,953167
56,6205672043189,6205672997005,953816
57,6205673043134,6205673996265,953131
58,6205674043079,6205674996284,953205
59,6205675043006,6205675996062,953056
60,6205676042988,6205676996544,953556
61,6205677042896,6205677995712,952816
62,6205678042842,6205678995676,952834
63,6205679042787,6205679995658,952871
64,6205680042713,6205680996270,953557
65,6205681042677,6205681995511,952834
66,6205682042567,6205682995475,952908
67,6205683042512,6205683995401,952889
68,6205684042513,6205684996921,954408
