seq,irq_ts_ns,recv_ts_ns,latency_ns
13724,2531968090223,2543004740237,11036650014
13725,2531968090223,2543004746163,11036655940
13726,2531968090223,2543004747793,11036657570
13727,2531968090223,2543004749385,11036659162
13728,2531968090223,2543004751052,11036660829
13729,2531968090223,2543004752644,11036662421
13730,2531968090223,2543004754218,11036663995
13731,2531968090223,2543004755774,11036665551
13732,2531968090223,2543004757422,11036667199
13733,2531968090223,2543004758996,11036668773
13734,2531968090223,2543004760552,11036670329
13735,2531968090223,2543004762107,11036671884
13736,2531968090223,2543004763774,11036673551
13737,2531968090223,2543004765348,11036675125
13738,2531968090223,2543004766959,11036676736
13739,2531968090223,2543004772144,11036681921
13740,2531968090223,2543004773904,11036683681
13741,2531968090223,2543004775681,11036685458
13742,2531968090223,2543004778274,11036688051
13743,2531968090223,2543004779848,11036689625
13744,2531968090223,2543004782867,11036692644
13745,2531968090223,2543004784589,11036694366
13746,2531968090223,2543004787311,11036697088
13747,2531968090223,2543004789033,11036698810
13748,2531968090223,2543004791866,11036701643
13749,2531968090223,2543004793589,11036703366
13750,2531968090223,2543004796329,11036706106
13751,2531968090223,2543004798052,11036707829
13752,2531968090223,2543004800774,11036710551
13753,2531968090223,2543004802496,11036712273
13754,2531968090223,2543004805218,11036714995
13755,2531968090223,2543004806959,11036716736
13756,2531968090223,2543004809663,11036719440
13757,2531968090223,2543004811422,11036721199
13758,2531968090223,2543004814144,11036723921
13759,2531968090223,2543004815885,11036725662
13760,2531968090223,2543004818681,11036728458
13761,2531968090223,2543004820403,11036730180
13762,2531968090223,2543004823126,11036732903
13763,2531968090223,2543004824866,11036734643
13764,2531968090223,2543004827681,11036737458
13765,2531968090223,2543004829440,11036739217
13766,2531968090223,2543004832163,11036741940
13767,2531968090223,2543004833885,11036743662
13768,2531968090223,2543004836700,11036746477
13769,2531968090223,2543004838422,11036748199
13770,2531968090223,2543004841144,11036750921
13771,2531968090223,2543004842848,11036752625
13772,2531968090223,2543004845663,11036755440
13773,2531968090223,2543004847366,11036757143
13774,2531968090223,2543004850144,11036759921
13775,2531968090223,2543004851885,11036761662
13776,2531968090223,2543004854755,11036764532
13777,2531968090223,2543004856477,11036766254
13778,2531968090223,2543004859329,11036769106
13779,2531968090223,2543004861051,11036770828
13780,2531968090223,2543004863922,11036773699
13781,2531968090223,2543004865663,11036775440
13782,2531968090223,2543004868533,11036778310
13783,2531968090223,2543004870255,11036780032
13784,2531968090223,2543004873088,11036782865
13785,2531968090223,2543004874829,11036784606
13786,2531968090223,2543004877737,11036787514
13787,2531968090223,2543004897829,11036807606
13788,2531968090223,2543004900588,11036810365
13789,2531968090223,2543004902329,11036812106
13790,2531968090223,2543004905033,11036814810
13791,2531968090223,2543004906792,11036816569
13792,2531968090223,2543004909588,11036819365
13793,2531968090223,2543004911329,11036821106
13794,2531968090223,2543004914033,11036823810
13795,2531968090223,2543004915755,11036825532
13796,2531968090223,2543004918570,11036828347
13797,2531968090223,2543004920292,11036830069
13798,2531968090223,2543004923014,11036832791
13799,2531968090223,2543004924718,11036834495
13800,2531968090223,2543004927533,11036837310
13801,2531968090223,2543004929255,11036839032
13802,2531968090223,2543004931959,11036841736
13803,2531968090223,2543004933681,11036843458
13804,2531968090223,2543004936477,11036846254
13805,2531968090223,2543004938199,11036847976
13806,2531968090223,2543004940922,11036850699
13807,2531968090223,2543004942644,11036852421
13808,2531968090223,2543004945477,11036855254
13809,2531968090223,2543004947199,11036856976
13810,2531968090223,2543004949922,11036859699
13811,2531968090223,2543004951662,11036861439
13812,2531968090223,2543004964681,11036874458
13813,2531968090223,2543004967070,11036876847
13814,2531968090223,2543004969718,11036879495
13815,2531968090223,2543004971459,11036881236
13816,2531968090223,2543004974255,11036884032
13817,2531968090223,2543004976070,11036885847
13818,2531968090223,2543004978792,11036888569
13819,2531968090223,2543004980514,11036890291
