seq,irq_ts_ns,recv_ts_ns,latency_ns
20440,2520915001424,2520932419891,17418467
20441,2520915001424,2520932424725,17423301
20442,2520915001424,2520932426299,17424875
20443,2520915001424,2520932427743,17426319
20444,2520915001424,2520932429187,17427763
20445,2520915001424,2520932430595,17429171
20446,2520915001424,2520932432299,17430875
20447,2520915001424,2520932433724,17432300
20448,2520915001424,2520932435132,17433708
20449,2520915001424,2520932436576,17435152
20450,2520915001424,2520932438076,17436652
20451,2520915001424,2520932439502,17438078
20452,2520915001424,2520932440910,17439486
0,2520932598465,2521132649212,200050747
1,2520932598465,2521132655508,200057043
2,2520932598465,2521132657619,200059154
3,2520932598465,2521132659712,200061247
4,2520932598465,2521132662971,200064506
5,2520932598465,2521132665008,200066543
6,2520932598465,2521132668156,200069691
7,2520932598465,2521132670063,200071598
8,2520932598465,2521132672156,200073691
9,2520932598465,2521132674156,200075691
10,2520932598465,2521132676008,200077543
11,2520932598465,2521132677878,200079413
12,2520932598465,2521132679878,200081413
13,2520932598465,2521132682989,200084524
14,2520932598465,2521132684989,200086524
15,2520932598465,2521132688119,200089654
16,2520932598465,2521132690045,200091580
17,2520932598465,2521132693119,200094654
18,2520932598465,2521132695008,200096543
19,2520932598465,2521132698230,200099765
20,2520932598465,2521132700119,200101654
21,2520932598465,2521132702934,200104469
22,2520932598465,2521132706137,200107672
23,2520932598465,2521132708026,200109561
24,2520932598465,2521132711193,200112728
25,2520932598465,2521132713082,200114617
26,2520932598465,2521132716304,200117839
27,2520932598465,2521132718193,200119728
28,2520932598465,2521132721341,200122876
29,2520932598465,2521132723230,200124765
30,2520932598465,2521132726304,200127839
31,2520932598465,2521132728174,200129709
32,2520932598465,2521132731471,200133006
33,2520932598465,2521132733359,200134894
34,2520932598465,2521132736619,200138154
35,2520932598465,2521132738508,200140043
36,2520932598465,2521132740471,200142006
37,2520932598465,2521132742434,200143969
38,2520932598465,2521132745619,200147154
39,2520932598465,2521132747508,200149043
40,2520932598465,2521132750730,200152265
41,2520932598465,2521132752730,200154265
42,2520932598465,2521132755859,200157394
43,2520932598465,2521132757952,200159487
44,2520932598465,2521132761045,200162580
45,2520932598465,2521132763026,200164561
46,2520932598465,2521132766174,200167709
47,2520932598465,2521132768693,200170228
48,2520932598465,2521132772045,200173580
49,2520932598465,2521132774582,200176117
50,2520932598465,2521132777693,200179228
51,2520932598465,2521132779804,200181339
52,2520932598465,2521132782933,200184468
53,2520932598465,2521132785674,200187209
54,2520932598465,2521132788896,200190431
55,2520932598465,2521132790859,200192394
56,2520932598465,2521132794007,200195542
57,2520932598465,2521132798341,200199876
58,2520932598465,2521132800248,200201783
59,2520932598465,2521132803378,200204913
60,2520932598465,2521132805489,200207024
61,2520932598465,2521132808581,200210116
62,2520932598465,2521132812248,200213783
63,2520932598465,2521132815415,200216950
64,2520932598465,2521132817896,200219431
65,2520932598465,2521132821081,200222616
66,2520932598465,2521132824711,200226246
67,2520932598465,2521132827878,200229413
68,2520932598465,2521132829878,200231413
69,2520932598465,2521132832970,200234505
70,2520932598465,2521132835452,200236987
71,2520932598465,2521132838544,200240079
72,2520932598465,2521132841174,200242709
73,2520932598465,2521132859285,200260820
74,2520932598465,2521132861470,200263005
75,2520932598465,2521132864581,200266116
76,2520932598465,2521132866729,200268264
77,2520932598465,2521132869822,200271357
78,2520932598465,2521132871711,200273246
79,2520932598465,2521132874804,200276339
80,2520932598465,2521132876729,200278264
81,2520932598465,2521132879878,200281413
82,2520932598465,2521132881766,200283301
83,2520932598465,2521132884859,200286394
84,2520932598465,2521132886785,200288320
85,2520932598465,2521132889878,200291413
86,2520932598465,2521132891785,200293320
87,2520932598465,2521132894915,200296450
88,2520932598465,2521132896859,200298394
89,2520932598465,2521132899952,200301487
90,2520932598465,2521132901840,200303375
91,2520932598465,2521132904933,200306468
92,2520932598465,2521132906840,200308375
93,2520932598465,2521132909415,200310950
94,2520932598465,2521132912563,200314098
95,2520932598465,2521132914452,200315987
96,2520932598465,2521132916396,200317931
97,2520932598465,2521132918285,200319820
98,2520932598465,2521132920174,200321709
99,2520932598465,2521132922322,200323857
100,2520932598465,2521132925433,200326968
101,2520932598465,2521132927359,200328894
102,2520932598465,2521132930470,200332005
103,2520932598465,2521132932377,200333912
104,2520932598465,2521132935489,200337024
105,2520932598465,2521132937396,200338931
106,2520932598465,2521132940470,200342005
107,2520932598465,2521132942377,200343912
108,2520932598465,2521132945470,200347005
109,2520932598465,2521132947359,200348894
110,2520932598465,2521132950655,200352190
111,2520932598465,2521132952544,200354079
112,2520932598465,2521132955840,200357375
113,2520932598465,2521132957729,200359264
114,2520932598465,2521132960970,200362505
115,2520932598465,2521132962859,200364394
116,2520932598465,2521132966100,200367635
117,2520932598465,2521132967988,200369523
118,2520932598465,2521132971081,200372616
119,2520932598465,2521132972970,200374505
120,2520932598465,2521132976137,200377672
121,2520932598465,2521132978044,200379579
122,2520932598465,2521132980488,200382023
123,2520932598465,2521132982377,200383912
