seq,irq_ts_ns,recv_ts_ns,latency_ns
13583,2520932598465,2531967990779,11035392314
13584,2520932598465,2531967996927,11035398462
13585,2520932598465,2531967999020,11035400555
13586,2520932598465,2531968010446,11035411981
13587,2520932598465,2531968012686,11035414221
13588,2520932598465,2531968014705,11035416240
13589,2520932598465,2531968016798,11035418333
13590,2520932598465,2531968018890,11035420425
13591,2520932598465,2531968020890,11035422425
13592,2520932598465,2531968022909,11035424444
13593,2520932598465,2531968024890,11035426425
13594,2520932598465,2531968027038,11035428573
13595,2520932598465,2531968030668,11035432203
13596,2520932598465,2531968034890,11035436425
13597,2520932598465,2531968036946,11035438481
13598,2520932598465,2531968039186,11035440721
13599,2520932598465,2531968042427,11035443962
13600,2520932598465,2531968044538,11035446073
13601,2520932598465,2531968048186,11035449721
13602,2520932598465,2531968051020,11035452555
13603,2520932598465,2531968054501,11035456036
13604,2520932598465,2531968056668,11035458203
13605,2520932598465,2531968060057,11035461592
13606,2520932598465,2531968062316,11035463851
13607,2520932598465,2531968065742,11035467277
13608,2520932598465,2531968067890,11035469425
13609,2520932598465,2531968071279,11035472814
13610,2520932598465,2531968073557,11035475092
13611,2520932598465,2531968076946,11035478481
13612,2520932598465,2531968079112,11035480647
13613,2520932598465,2531968082538,11035484073
13614,2520932598465,2531968094075,11035495610
13615,2520932598465,2531968097520,11035499055
13616,2520932598465,2531968099723,11035501258
13617,2520932598465,2531968103131,11035504666
13618,2520932598465,2531968105297,11035506832
13619,2520932598465,2531968118075,11035519610
13620,2520932598465,2531968120279,11035521814
13621,2520932598465,2531968123686,11035525221
13622,2520932598465,2531968125853,11035527388
13623,2520932598465,2531968129242,11035530777
13624,2520932598465,2531968131390,11035532925
13625,2520932598465,2531968134760,11035536295
13626,2520932598465,2531968136927,11035538462
13627,2520932598465,2531968140334,11035541869
13628,2520932598465,2531968142501,11035544036
13629,2520932598465,2531968145890,11035547425
13630,2520932598465,2531968148019,11035549554
13631,2520932598465,2531968151408,11035552943
13632,2520932598465,2531968153575,11035555110
13633,2520932598465,2531968156945,11035558480
13634,2520932598465,2531968159093,11035560628
13635,2520932598465,2531968169242,11035570777
13636,2520932598465,2531968172649,11035574184
13637,2520932598465,2531968174816,11035576351
13638,2520932598465,2531968178130,11035579665
13639,2520932598465,2531968180279,11035581814
13640,2520932598465,2531968183667,11035585202
13641,2520932598465,2531968185816,11035587351
13642,2520932598465,2531968189223,11035590758
13643,2520932598465,2531968191371,11035592906
13644,2520932598465,2531968194779,11035596314
13645,2520932598465,2531968196927,11035598462
13646,2520932598465,2531968200353,11035601888
13647,2520932598465,2531968202482,11035604017
13648,2520932598465,2531968205927,11035607462
13649,2520932598465,2531968208093,11035609628
13650,2520932598465,2531968211482,11035613017
13651,2520932598465,2531968213649,11035615184
13652,2520932598465,2531968217019,11035618554
13653,2520932598465,2531968219167,11035620702
13654,2520932598465,2531968222575,11035624110
13655,2520932598465,2531968224741,11035626276
13656,2520932598465,2531968228130,11035629665
13657,2520932598465,2531968230278,11035631813
13658,2520932598465,2531968233667,11035635202
13659,2520932598465,2531968235815,11035637350
13660,2520932598465,2531968239186,11035640721
13661,2520932598465,2531968241315,11035642850
13662,2520932598465,2531968244723,11035646258
13663,2520932598465,2531968246890,11035648425
13664,2520932598465,2531968250278,11035651813
13665,2520932598465,2531968252389,11035653924
13666,2520932598465,2531968255797,11035657332
13667,2520932598465,2531968257945,11035659480
13668,2520932598465,2531968261334,11035662869
13669,2520932598465,2531968263464,11035664999
13670,2520932598465,2531968266871,11035668406
13671,2520932598465,2531968269038,11035670573
13672,2520932598465,2531968272408,11035673943
13673,2520932598465,2531968274556,11035676091
13674,2520932598465,2531968277945,11035679480
13675,2520932598465,2531968280093,11035681628
13676,2520932598465,2531968283519,11035685054
13677,2520932598465,2531968295315,11035696850
13678,2520932598465,2531968297556,11035699091
13679,2520932598465,2531968300945,11035702480
13680,2520932598465,2531968303112,11035704647
13681,2520932598465,2531968306519,11035708054
13682,2520932598465,2531968308760,11035710295
13683,2520932598465,2531968312167,11035713702
13684,2520932598465,2531968314334,11035715869
13685,2520932598465,2531968317723,11035719258
13686,2520932598465,2531968319963,11035721498
13687,2520932598465,2531968323315,11035724850
13688,2520932598465,2531968325463,11035726998
13689,2520932598465,2531968328834,11035730369
13690,2520932598465,2531968331093,11035732628
13691,2520932598465,2531968334500,11035736035
13692,2520932598465,2531968336648,11035738183
13693,2520932598465,2531968346445,11035747980
13694,2520932598465,2531968348741,11035750276
13695,2520932598465,2531968360408,11035761943
13696,2520932598465,2531968363815,11035765350
13697,2520932598465,2531968365945,11035767480
