seq,irq_ts_ns,recv_ts_ns,latency_ns
13591,2445331201365,2456357786539,11026585174
13592,2445331201365,2456357791502,11026590137
13593,2445331201365,2456357793150,11026591785
13594,2445331201365,2456357794742,11026593377
13595,2445331201365,2456357796224,11026594859
13596,2445331201365,2456357797779,11026596414
13597,2445331201365,2456357799279,11026597914
13598,2445331201365,2456357801187,11026599822
13599,2445331201365,2456357802668,11026601303
13600,2445331201365,2456357804298,11026602933
13601,2445331201365,2456357805816,11026604451
13602,2445331201365,2456357807372,11026606007
13603,2445331201365,2456357808872,11026607507
13604,2445331201365,2456357813761,11026612396
13605,2445331201365,2456357815335,11026613970
13606,2445331201365,2456357817390,11026616025
13607,2445331201365,2456357820335,11026618970
13608,2445331201365,2456357823983,11026622618
13609,2445331201365,2456357825650,11026624285
13610,2445331201365,2456357828242,11026626877
13611,2445331201365,2456357829872,11026628507
13612,2445331201365,2456357832483,11026631118
13613,2445331201365,2456357834112,11026632747
13614,2445331201365,2456357836724,11026635359
13615,2445331201365,2456357838390,11026637025
13616,2445331201365,2456357841001,11026639636
13617,2445331201365,2456357842668,11026641303
13618,2445331201365,2456357845298,11026643933
13619,2445331201365,2456357846927,11026645562
13620,2445331201365,2456357849538,11026648173
13621,2445331201365,2456357851187,11026649822
13622,2445331201365,2456357853835,11026652470
13623,2445331201365,2456357855483,11026654118
13624,2445331201365,2456357858094,11026656729
13625,2445331201365,2456357859742,11026658377
13626,2445331201365,2456357862335,11026660970
13627,2445331201365,2456357864372,11026663007
13628,2445331201365,2456357867001,11026665636
13629,2445331201365,2456357868723,11026667358
13630,2445331201365,2456357871298,11026669933
13631,2445331201365,2456357872964,11026671599
13632,2445331201365,2456357875538,11026674173
13633,2445331201365,2456357877594,11026676229
13634,2445331201365,2456357880205,11026678840
13635,2445331201365,2456357881872,11026680507
13636,2445331201365,2456357884501,11026683136
13637,2445331201365,2456357886149,11026684784
13638,2445331201365,2456357888798,11026687433
13639,2445331201365,2456357890464,11026689099
13640,2445331201365,2456357893094,11026691729
13641,2445331201365,2456357894760,11026693395
13642,2445331201365,2456357897446,11026696081
13643,2445331201365,2456357899242,11026697877
13644,2445331201365,2456357901872,11026700507
13645,2445331201365,2456357903557,11026702192
13646,2445331201365,2456357906279,11026704914
13647,2445331201365,2456357907983,11026706618
13648,2445331201365,2456357910575,11026709210
13649,2445331201365,2456357912242,11026710877
13650,2445331201365,2456357914927,11026713562
13651,2445331201365,2456357916575,11026715210
13652,2445331201365,2456357919223,11026717858
13653,2445331201365,2456357920890,11026719525
13654,2445331201365,2456357923538,11026722173
13655,2445331201365,2456357925186,11026723821
13656,2445331201365,2456357927779,11026726414
13657,2445331201365,2456357929427,11026728062
13658,2445331201365,2456357932112,11026730747
13659,2445331201365,2456357933760,11026732395
13660,2445331201365,2456357936371,11026735006
13661,2445331201365,2456357938038,11026736673
13662,2445331201365,2456357940723,11026739358
13663,2445331201365,2456357942371,11026741006
13664,2445331201365,2456357944964,11026743599
13665,2445331201365,2456357946594,11026745229
13666,2445331201365,2456357949297,11026747932
13667,2445331201365,2456357950945,11026749580
13668,2445331201365,2456357953612,11026752247
13669,2445331201365,2456357955260,11026753895
13670,2445331201365,2456357957908,11026756543
13671,2445331201365,2456357959649,11026758284
13672,2445331201365,2456357962297,11026760932
13673,2445331201365,2456357963964,11026762599
13674,2445331201365,2456357966668,11026765303
13675,2445331201365,2456357968334,11026766969
13676,2445331201365,2456357970945,11026769580
13677,2445331201365,2456357972575,11026771210
13678,2445331201365,2456357975279,11026773914
13679,2445331201365,2456357977001,11026775636
13680,2445331201365,2456357979575,11026778210
13681,2445331201365,2456357981242,11026779877
13682,2445331201365,2456357984149,11026782784
13683,2445331201365,2456357985797,11026784432
13684,2445331201365,2456357988408,11026787043
13685,2445331201365,2456357990075,11026788710
13686,2445331201365,2456357992760,11026791395
13687,2445331201365,2456357994427,11026793062
13688,2445331201365,2456357997038,11026795673
13689,2445331201365,2456357998705,11026797340
13690,2445331201365,2456358001390,11026800025
13691,2445331201365,2456358003056,11026801691
13692,2445331201365,2456358005686,11026804321
13693,2445331201365,2456358007353,11026805988
13694,2445331201365,2456358010038,11026808673
13695,2445331201365,2456358011797,11026810432
13696,2445331201365,2456358014408,11026813043
13697,2445331201365,2456358016056,11026814691
13698,2445331201365,2456358018760,11026817395
13699,2445331201365,2456358020464,11026819099
13700,2445331201365,2456358023130,11026821765
13701,2445331201365,2456358024797,11026823432
13702,2445331201365,2456358027482,11026826117
13703,2445331201365,2456358029242,11026827877
13704,2445331201365,2456358031871,11026830506
13705,2445331201365,2456358033519,11026832154
13706,2445331201365,2456358036242,11026834877
13707,2445331201365,2456358037927,11026836562
13708,2445331201365,2456358040538,11026839173
13709,2445331201365,2456358042186,11026840821
13710,2445331201365,2456358044871,11026843506
13711,2445331201365,2456358046575,11026845210
13712,2445331201365,2456358049186,11026847821
13713,2445331201365,2456358050816,11026849451
13714,2445331201365,2456358053519,11026852154
13715,2445331201365,2456358055167,11026853802
13716,2445331201365,2456358057760,11026856395
13717,2445331201365,2456358059427,11026858062
0,2456358225315,2456359197757,972442
1,2456359821773,2456361569287,1747514
2,2456359821773,2456361572268,1750495
3,2456360617067,2456361573768,956701
4,2456362216396,2456363945261,1728865
5,2456362216396,2456363948206,1731810
6,2456363019301,2456363949743,930442
7,2456364616259,2456366318421,1702162
8,2456364616259,2456366321588,1705329
9,2456365422775,2456366323162,900387
10,2456366221236,2456367984675,1763439
11,2456367028419,2456367987657,959238
12,2456368621303,2456370357891,1736588
13,2456368621303,2456370360854,1739551
14,2456369415838,2456370362446,946608
15,2456371017296,2456372720347,1703051
16,2456371017296,2456372723291,1705995
17,2456371817238,2456372724865,907627
18,2456373420900,2456374387379,966479
19,2456373420900,2456374390323,969423
20,2456375020821,2456376769650,1748829
21,2456375020821,2456376773390,1752569
22,2456375818634,2456376775390,956756
23,2456377418629,2456379165328,1746699
24,2456377418629,2456379168791,1750162
25,2456378215423,2456379170680,955257
26,2456379816159,2456381557617,1741458
27,2456379816159,2456381561191,1745032
28,2456380616861,2456381563080,946219
29,2456382217263,2456383948443,1731180
30,2456382217263,2456383951943,1734680
31,2456383016650,2456383953851,937201
32,2456384615164,2456386334177,1719013
33,2456384615164,2456386337677,1722513
34,2456385417328,2456386339788,922460
35,2456387016490,2456388010728,994238
36,2456387016490,2456388014320,997830
37,2456388620115,2456390394073,1773958
38,2456389414724,2456390397573,982849
39,2456389414724,2456390399480,984756
40,2456391019978,2456392785621,1765643
41,2456391019978,2456392789103,1769125
42,2456391822772,2456392791121,968349
43,2456393419804,2456395177633,1757829
44,2456393419804,2456395181096,1761292
45,2456394215043,2456395183077,968034
46,2456395819594,2456397569181,1749587
47,2456395819594,2456397572626,1753032
48,2456396618628,2456397574552,955924
49,2456398218068,2456399965045,1746977
50,2456398218068,2456399968489,1750421
51,2456399014640,2456399970396,955756
52,2456400614783,2456402356612,1741829
53,2456400614783,2456402360056,1745273
54,2456401415429,2456402361963,946534
55,2456403016591,2456404752901,1736310
56,2456403016591,2456404756549,1739958
57,2456403815663,2456404758456,942793
58,2456405416029,2456407155412,1739383
59,2456405416029,2456407158949,1742920
60,2456406213656,2456407160875,947219
61,2456407819466,2456409560757,1741291
62,2456407819466,2456409564479,1745013
63,2456408615001,2456409566405,951404
64,2456410214126,2456411970120,1755994
65,2456410214126,2456411973676,1759550
66,2456411014475,2456411975620,961145
67,2456412618619,2456414376095,1757476
68,2456412618619,2456414379613,1760994
69,2456413419931,2456414381539,961608
70,2456415018334,2456416779199,1760865
71,2456415018334,2456416782736,1764402
72,2456415813350,2456416784662,971312
73,2456417418290,2456419185099,1766809
74,2456417418290,2456419188655,1770365
75,2456418217398,2456419190581,973183
76,2456419818060,2456421590129,1772069
77,2456419818060,2456421593592,1775532
78,2456420622484,2456421595648,973164
79,2456422217961,2456423994493,1776532
80,2456423023810,2456423998048,974238
81,2456423023810,2456423999956,976146
82,2456424617750,2456426398023,1780273
83,2456425417988,2456426401578,983590
84,2456425417988,2456426403504,985516
85,2456427017613,2456428802719,1785106
86,2456427819889,2456428806293,986404
87,2456427819889,2456428808182,988293
88,2456429417440,2456431201249,1783809
89,2456430214400,2456431204805,990405
90,2456430214400,2456431206749,992349
91,2456431817303,2456433600687,1783384
92,2456432613912,2456433604224,990312
93,2456432613912,2456433606150,992238
94,2456434217129,2456435999161,1782032
95,2456435013108,2456436005957,992849
96,2456435013108,2456436007902,994794
97,2456436617011,2456438397636,1780625
98,2456437411675,2456438401210,989535
99,2456437411675,2456438403099,991424
100,2456439016874,2456440798851,1781977
101,2456439811576,2456440802462,990886
102,2456439811576,2456440804406,992830
103,2456441416682,2456443197103,1780421
